C,penalty,solver,max_iter,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
1.0,l2,lbfgs,1000,balanced,0.8254,0.8281,0.8023,0.7468,0.8254,0.7651,0.033,0.1817,0.1719,0.1746,-0.0026,0.3062,0.7065,0.4271,0.7807,0.4569,0.5761,0.8692,0.9867,0.924,0.9479,0.9119,0.9295,0.9251,0.9289,0.927,0.6148,0.9255,0.7388,0.7895,0.7626,0.7758,0.7409,0.9245,0.8222
0.1,l2,saga,500,balanced,0.8179,0.8206,0.7902,0.7234,0.8179,0.7456,0.0353,0.1879,0.1794,0.1821,-0.0027,0.3019,0.7015,0.4221,0.7865,0.4404,0.5642,0.8109,1.0,0.895,0.9431,0.9042,0.9232,0.9082,0.9139,0.9111,0.5676,0.9216,0.7023,0.7851,0.7469,0.7655,0.6837,0.9149,0.7817
0.1,l2,saga,1000,balanced,0.8178,0.8207,0.7903,0.7238,0.8178,0.7459,0.0353,0.1879,0.1793,0.1822,-0.0029,0.3021,0.7015,0.4222,0.7865,0.4404,0.5642,0.8154,1.0,0.8977,0.9431,0.9043,0.9233,0.9085,0.9142,0.9113,0.5676,0.9216,0.7023,0.7853,0.7471,0.7657,0.6822,0.9137,0.7803
0.1,l2,lbfgs,500,balanced,0.8177,0.8207,0.7901,0.7238,0.8177,0.7458,0.0353,0.188,0.1793,0.1823,-0.0029,0.301,0.7015,0.4211,0.7859,0.4398,0.5636,0.8154,1.0,0.8977,0.9437,0.904,0.9234,0.9085,0.9139,0.9112,0.5668,0.9216,0.7017,0.7853,0.7473,0.7657,0.6839,0.9137,0.7814
0.1,l2,lbfgs,1000,balanced,0.8177,0.8207,0.7901,0.7238,0.8177,0.7458,0.0353,0.188,0.1793,0.1823,-0.0029,0.301,0.7015,0.4211,0.7859,0.4398,0.5636,0.8154,1.0,0.8977,0.9437,0.904,0.9234,0.9085,0.9139,0.9112,0.5668,0.9216,0.7017,0.7853,0.7473,0.7657,0.6839,0.9137,0.7814
0.01,l2,saga,500,balanced,0.7955,0.7971,0.7595,0.6801,0.7955,0.7002,0.0421,0.2052,0.2029,0.2045,-0.0017,0.2809,0.7116,0.4027,0.802,0.3772,0.5129,0.702,1.0,0.8239,0.9293,0.9042,0.9165,0.8696,0.8672,0.8684,0.4555,0.904,0.6053,0.777,0.6969,0.7347,0.6241,0.9029,0.7376
0.01,l2,saga,1000,balanced,0.7955,0.7971,0.7595,0.6801,0.7955,0.7002,0.0421,0.2052,0.2029,0.2045,-0.0017,0.2809,0.7116,0.4027,0.802,0.3772,0.5129,0.702,1.0,0.8239,0.9293,0.9042,0.9165,0.8696,0.8672,0.8684,0.4555,0.904,0.6053,0.777,0.6969,0.7347,0.6241,0.9029,0.7376
0.01,l2,lbfgs,500,balanced,0.7953,0.7973,0.7593,0.6803,0.7953,0.7003,0.0421,0.2052,0.2027,0.2047,-0.002,0.2807,0.7116,0.4025,0.8015,0.3772,0.5128,0.7061,1.0,0.8264,0.9291,0.904,0.9164,0.8696,0.8674,0.8685,0.4549,0.904,0.6048,0.777,0.6963,0.7343,0.6232,0.9017,0.7365
0.01,l2,lbfgs,1000,balanced,0.7953,0.7973,0.7593,0.6803,0.7953,0.7003,0.0421,0.2052,0.2027,0.2047,-0.002,0.2807,0.7116,0.4025,0.8015,0.3772,0.5128,0.7061,1.0,0.8264,0.9291,0.904,0.9164,0.8696,0.8674,0.8685,0.4549,0.904,0.6048,0.777,0.6963,0.7343,0.6232,0.9017,0.7365
50.0,l2,lbfgs,1000,,0.7818,0.7847,0.8349,0.8125,0.7818,0.7875,0.0285,0.1689,0.2153,0.2182,-0.0029,0.5569,0.2206,0.315,0.684,0.6936,0.6887,0.9614,0.9662,0.963,0.9354,0.9274,0.9314,0.9175,0.9528,0.9347,0.815,0.7941,0.8041,0.7551,0.8243,0.7881,0.8748,0.8753,0.8747
