n_estimators,max_features,max_depth,min_samples_split,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
500,log2,20.0,5,balanced,0.8194,0.9903,0.8609,0.8197,0.8194,0.8184,0.0248,0.1574,0.0097,0.1806,-0.1709,0.4721,0.3836,0.423,0.7118,0.6743,0.6924,0.944,0.9867,0.964,0.9733,0.9598,0.9664,0.9317,0.9622,0.9467,0.8359,0.8313,0.8331,0.8112,0.8578,0.8337,0.8774,0.8993,0.8881
100,log2,20.0,5,balanced,0.8176,0.9894,0.8601,0.8195,0.8176,0.8176,0.025,0.1581,0.0106,0.1824,-0.1718,0.4563,0.3765,0.4125,0.7116,0.6719,0.6911,0.9507,0.9867,0.9674,0.9724,0.9602,0.9662,0.9313,0.9622,0.9465,0.8426,0.8313,0.8364,0.8108,0.8576,0.8335,0.8809,0.8945,0.8875
100,sqrt,20.0,5,balanced,0.8176,0.9894,0.8601,0.8195,0.8176,0.8176,0.025,0.1581,0.0106,0.1824,-0.1718,0.4563,0.3765,0.4125,0.7116,0.6719,0.6911,0.9507,0.9867,0.9674,0.9724,0.9602,0.9662,0.9313,0.9622,0.9465,0.8426,0.8313,0.8364,0.8108,0.8576,0.8335,0.8809,0.8945,0.8875
300,log2,,5,balanced,0.812,0.9969,0.8618,0.8238,0.812,0.8144,0.0246,0.157,0.0031,0.188,-0.1848,0.5013,0.3046,0.3786,0.7005,0.6987,0.6994,0.944,0.9867,0.964,0.9735,0.9593,0.9663,0.9322,0.9626,0.9471,0.8453,0.8294,0.8368,0.806,0.8628,0.8333,0.8875,0.8921,0.8895
300,sqrt,,5,balanced,0.812,0.9969,0.8618,0.8238,0.812,0.8144,0.0246,0.157,0.0031,0.188,-0.1848,0.5013,0.3046,0.3786,0.7005,0.6987,0.6994,0.944,0.9867,0.964,0.9735,0.9593,0.9663,0.9322,0.9626,0.9471,0.8453,0.8294,0.8368,0.806,0.8628,0.8333,0.8875,0.8921,0.8895
500,sqrt,,5,balanced,0.8115,0.997,0.8618,0.8235,0.8115,0.8138,0.0246,0.1569,0.003,0.1885,-0.1855,0.5027,0.3006,0.3758,0.6998,0.6996,0.6995,0.944,0.9867,0.964,0.9732,0.9598,0.9664,0.9315,0.9622,0.9466,0.8418,0.8294,0.8351,0.8068,0.8628,0.8338,0.8883,0.8909,0.8893
500,log2,,5,balanced,0.8115,0.997,0.8618,0.8235,0.8115,0.8138,0.0246,0.1569,0.003,0.1885,-0.1855,0.5027,0.3006,0.3758,0.6998,0.6996,0.6995,0.944,0.9867,0.964,0.9732,0.9598,0.9664,0.9315,0.9622,0.9466,0.8418,0.8294,0.8351,0.8068,0.8628,0.8338,0.8883,0.8909,0.8893
500,sqrt,20.0,2,balanced,0.8114,0.9972,0.8604,0.8231,0.8114,0.8155,0.0246,0.1568,0.0028,0.1886,-0.1858,0.4663,0.3461,0.3965,0.7081,0.6791,0.6932,0.944,0.9867,0.964,0.9719,0.9596,0.9657,0.9313,0.9629,0.9468,0.8659,0.8059,0.8344,0.8056,0.864,0.8337,0.892,0.8873,0.8894
500,log2,20.0,2,balanced,0.8114,0.9972,0.8604,0.8231,0.8114,0.8155,0.0246,0.1568,0.0028,0.1886,-0.1858,0.4663,0.3461,0.3965,0.7081,0.6791,0.6932,0.944,0.9867,0.964,0.9719,0.9596,0.9657,0.9313,0.9629,0.9468,0.8659,0.8059,0.8344,0.8056,0.864,0.8337,0.892,0.8873,0.8894
300,sqrt,20.0,2,balanced,0.8106,0.9973,0.8606,0.8233,0.8106,0.8151,0.0246,0.157,0.0027,0.1894,-0.1867,0.4693,0.3502,0.4003,0.7087,0.6773,0.6925,0.9438,0.98,0.9604,0.971,0.961,0.966,0.932,0.9631,0.9473,0.8606,0.8039,0.8308,0.8059,0.8642,0.834,0.895,0.8849,0.8897
300,log2,20.0,2,balanced,0.8106,0.9973,0.8606,0.8233,0.8106,0.8151,0.0246,0.157,0.0027,0.1894,-0.1867,0.4693,0.3502,0.4003,0.7087,0.6773,0.6925,0.9438,0.98,0.9604,0.971,0.961,0.966,0.932,0.9631,0.9473,0.8606,0.8039,0.8308,0.8059,0.8642,0.834,0.895,0.8849,0.8897
