n_estimators,max_features,max_depth,min_samples_split,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
300,sqrt,10.0,2,,0.7732,0.8304,0.8527,0.8192,0.7732,0.7724,0.0262,0.1619,0.1696,0.2268,-0.0572,0.5304,0.0658,0.1162,0.6668,0.7255,0.6948,0.9735,0.9662,0.9691,0.974,0.9526,0.9632,0.9251,0.9631,0.9437,0.8455,0.7588,0.7993,0.7813,0.871,0.8236,0.8569,0.8825,0.8692
300,log2,10.0,2,,0.7732,0.8304,0.8527,0.8192,0.7732,0.7724,0.0262,0.1619,0.1696,0.2268,-0.0572,0.5304,0.0658,0.1162,0.6668,0.7255,0.6948,0.9735,0.9662,0.9691,0.974,0.9526,0.9632,0.9251,0.9631,0.9437,0.8455,0.7588,0.7993,0.7813,0.871,0.8236,0.8569,0.8825,0.8692
500,log2,10.0,2,,0.7726,0.8312,0.8526,0.8211,0.7726,0.7721,0.0262,0.1619,0.1688,0.2274,-0.0586,0.5435,0.0648,0.1149,0.6661,0.7252,0.6942,0.9735,0.9662,0.9691,0.9739,0.9526,0.9632,0.9259,0.9629,0.944,0.8477,0.7608,0.8014,0.7803,0.8718,0.8234,0.858,0.8765,0.8669
500,sqrt,10.0,2,,0.7726,0.8312,0.8526,0.8211,0.7726,0.7721,0.0262,0.1619,0.1688,0.2274,-0.0586,0.5435,0.0648,0.1149,0.6661,0.7252,0.6942,0.9735,0.9662,0.9691,0.9739,0.9526,0.9632,0.9259,0.9629,0.944,0.8477,0.7608,0.8014,0.7803,0.8718,0.8234,0.858,0.8765,0.8669
100,log2,10.0,5,,0.7723,0.8264,0.8526,0.8205,0.7723,0.7726,0.0263,0.1623,0.1736,0.2277,-0.0541,0.5309,0.0668,0.1176,0.6655,0.7201,0.6916,0.9732,0.9595,0.9654,0.9743,0.9529,0.9634,0.9243,0.9638,0.9436,0.8485,0.7627,0.8028,0.7806,0.8733,0.8242,0.8666,0.8789,0.8724
300,log2,10.0,5,,0.7723,0.8265,0.853,0.8214,0.7723,0.7721,0.0263,0.162,0.1735,0.2277,-0.0542,0.546,0.0658,0.116,0.6676,0.7243,0.6946,0.9735,0.9595,0.9657,0.9738,0.9531,0.9633,0.9256,0.9641,0.9444,0.8422,0.7608,0.799,0.7813,0.872,0.8241,0.8613,0.8789,0.8698
100,sqrt,10.0,5,,0.7723,0.8264,0.8526,0.8205,0.7723,0.7726,0.0263,0.1623,0.1736,0.2277,-0.0541,0.5309,0.0668,0.1176,0.6655,0.7201,0.6916,0.9732,0.9595,0.9654,0.9743,0.9529,0.9634,0.9243,0.9638,0.9436,0.8485,0.7627,0.8028,0.7806,0.8733,0.8242,0.8666,0.8789,0.8724
300,sqrt,10.0,5,,0.7723,0.8265,0.853,0.8214,0.7723,0.7721,0.0263,0.162,0.1735,0.2277,-0.0542,0.546,0.0658,0.116,0.6676,0.7243,0.6946,0.9735,0.9595,0.9657,0.9738,0.9531,0.9633,0.9256,0.9641,0.9444,0.8422,0.7608,0.799,0.7813,0.872,0.8241,0.8613,0.8789,0.8698
100,log2,10.0,2,,0.772,0.829,0.8525,0.8173,0.772,0.7721,0.0263,0.1622,0.171,0.228,-0.057,0.5111,0.0668,0.117,0.6672,0.724,0.6943,0.9735,0.9593,0.9654,0.9737,0.9522,0.9628,0.9264,0.9636,0.9446,0.8484,0.7627,0.803,0.7803,0.8718,0.8234,0.8576,0.8753,0.8661
100,sqrt,10.0,2,,0.772,0.829,0.8525,0.8173,0.772,0.7721,0.0263,0.1622,0.171,0.228,-0.057,0.5111,0.0668,0.117,0.6672,0.724,0.6943,0.9735,0.9593,0.9654,0.9737,0.9522,0.9628,0.9264,0.9636,0.9446,0.8484,0.7627,0.803,0.7803,0.8718,0.8234,0.8576,0.8753,0.8661
500,log2,10.0,5,,0.7715,0.8267,0.8526,0.8207,0.7715,0.7711,0.0263,0.162,0.1733,0.2285,-0.0552,0.5398,0.0607,0.1082,0.6665,0.7246,0.6942,0.9735,0.9595,0.9657,0.9737,0.9523,0.9628,0.9262,0.9638,0.9446,0.8438,0.7588,0.7987,0.7794,0.8722,0.8231,0.8624,0.8801,0.8709
500,sqrt,10.0,5,,0.7715,0.8267,0.8526,0.8207,0.7715,0.7711,0.0263,0.162,0.1733,0.2285,-0.0552,0.5398,0.0607,0.1082,0.6665,0.7246,0.6942,0.9735,0.9595,0.9657,0.9737,0.9523,0.9628,0.9262,0.9638,0.9446,0.8438,0.7588,0.7987,0.7794,0.8722,0.8231,0.8624,0.8801,0.8709
300,log2,5.0,2,balanced,0.7469,0.7571,0.7087,0.6855,0.7469,0.6461,0.049,0.2214,0.2429,0.2531,-0.0102,0.1924,0.6083,0.2922,0.8639,0.0972,0.1746,0.9438,0.9798,0.9605,0.9815,0.8377,0.9039,0.902,0.9364,0.9188,0.4397,0.8706,0.5837,0.6655,0.7147,0.6891,0.4954,0.9305,0.6461
300,sqrt,5.0,2,balanced,0.7469,0.7571,0.7087,0.6855,0.7469,0.6461,0.049,0.2214,0.2429,0.2531,-0.0102,0.1924,0.6083,0.2922,0.8639,0.0972,0.1746,0.9438,0.9798,0.9605,0.9815,0.8377,0.9039,0.902,0.9364,0.9188,0.4397,0.8706,0.5837,0.6655,0.7147,0.6891,0.4954,0.9305,0.6461
300,log2,5.0,5,balanced,0.7467,0.7563,0.708,0.6857,0.7467,0.646,0.0491,0.2215,0.2437,0.2533,-0.0096,0.1902,0.6022,0.289,0.8691,0.0981,0.1762,0.944,0.9867,0.964,0.9815,0.838,0.9041,0.9021,0.9356,0.9185,0.44,0.8706,0.584,0.6635,0.7119,0.6867,0.4947,0.9305,0.6456
300,sqrt,5.0,5,balanced,0.7467,0.7563,0.708,0.6857,0.7467,0.646,0.0491,0.2215,0.2437,0.2533,-0.0096,0.1902,0.6022,0.289,0.8691,0.0981,0.1762,0.944,0.9867,0.964,0.9815,0.838,0.9041,0.9021,0.9356,0.9185,0.44,0.8706,0.584,0.6635,0.7119,0.6867,0.4947,0.9305,0.6456
500,sqrt,5.0,2,balanced,0.7464,0.7577,0.7091,0.6853,0.7464,0.646,0.049,0.2214,0.2423,0.2536,-0.0113,0.1933,0.6033,0.2926,0.8688,0.1005,0.18,0.9438,0.9798,0.9605,0.9817,0.8387,0.9046,0.9014,0.9335,0.9171,0.44,0.8686,0.5835,0.6651,0.7164,0.6897,0.4879,0.9305,0.6399
500,log2,5.0,2,balanced,0.7464,0.7577,0.7091,0.6853,0.7464,0.646,0.049,0.2214,0.2423,0.2536,-0.0113,0.1933,0.6033,0.2926,0.8688,0.1005,0.18,0.9438,0.9798,0.9605,0.9817,0.8387,0.9046,0.9014,0.9335,0.9171,0.44,0.8686,0.5835,0.6651,0.7164,0.6897,0.4879,0.9305,0.6399
500,log2,5.0,5,balanced,0.7462,0.7568,0.7086,0.6845,0.7462,0.6456,0.049,0.2215,0.2432,0.2538,-0.0106,0.1934,0.6063,0.2932,0.8639,0.0996,0.1785,0.9438,0.9798,0.9605,0.9812,0.839,0.9046,0.9009,0.9328,0.9165,0.4407,0.8686,0.5841,0.6659,0.7146,0.6892,0.4858,0.9293,0.6378
500,sqrt,5.0,5,balanced,0.7462,0.7568,0.7086,0.6845,0.7462,0.6456,0.049,0.2215,0.2432,0.2538,-0.0106,0.1934,0.6063,0.2932,0.8639,0.0996,0.1785,0.9438,0.9798,0.9605,0.9812,0.839,0.9046,0.9009,0.9328,0.9165,0.4407,0.8686,0.5841,0.6659,0.7146,0.6892,0.4858,0.9293,0.6378
100,sqrt,5.0,5,balanced,0.7442,0.7536,0.7063,0.6861,0.7442,0.6443,0.0489,0.2212,0.2464,0.2558,-0.0094,0.1892,0.6012,0.2877,0.8758,0.0948,0.1709,0.9438,0.9798,0.9605,0.9813,0.8366,0.9032,0.9005,0.932,0.9159,0.4423,0.8667,0.5852,0.6602,0.7129,0.6854,0.4956,0.9293,0.6458
100,log2,5.0,5,balanced,0.7442,0.7536,0.7063,0.6861,0.7442,0.6443,0.0489,0.2212,0.2464,0.2558,-0.0094,0.1892,0.6012,0.2877,0.8758,0.0948,0.1709,0.9438,0.9798,0.9605,0.9813,0.8366,0.9032,0.9005,0.932,0.9159,0.4423,0.8667,0.5852,0.6602,0.7129,0.6854,0.4956,0.9293,0.6458
100,sqrt,5.0,2,balanced,0.7441,0.7544,0.7054,0.6864,0.7441,0.6431,0.0489,0.2211,0.2456,0.2559,-0.0103,0.1877,0.6002,0.2858,0.8829,0.0915,0.1656,0.9438,0.9798,0.9605,0.9813,0.8372,0.9036,0.8998,0.9313,0.9152,0.4398,0.8726,0.5844,0.6607,0.7105,0.6845,0.4953,0.9293,0.6456
100,log2,5.0,2,balanced,0.7441,0.7544,0.7054,0.6864,0.7441,0.6431,0.0489,0.2211,0.2456,0.2559,-0.0103,0.1877,0.6002,0.2858,0.8829,0.0915,0.1656,0.9438,0.9798,0.9605,0.9813,0.8372,0.9036,0.8998,0.9313,0.9152,0.4398,0.8726,0.5844,0.6607,0.7105,0.6845,0.4953,0.9293,0.6456
100,log2,5.0,5,,0.5762,0.5812,0.7906,0.5648,0.5762,0.552,0.0377,0.1943,0.4188,0.4238,-0.005,0.0,0.0,0.0,0.5939,0.668,0.6288,0.2,0.0069,0.0133,0.9773,0.9063,0.9404,0.9031,0.9429,0.9225,0.5757,0.4059,0.4737,0.6975,0.7963,0.7436,0.5706,0.8837,0.6933
100,sqrt,5.0,5,,0.5762,0.5812,0.7906,0.5648,0.5762,0.552,0.0377,0.1943,0.4188,0.4238,-0.005,0.0,0.0,0.0,0.5939,0.668,0.6288,0.2,0.0069,0.0133,0.9773,0.9063,0.9404,0.9031,0.9429,0.9225,0.5757,0.4059,0.4737,0.6975,0.7963,0.7436,0.5706,0.8837,0.6933
500,log2,5.0,5,,0.5753,0.5816,0.7913,0.544,0.5753,0.5518,0.0376,0.194,0.4184,0.4247,-0.0063,0.0,0.0,0.0,0.5939,0.6707,0.6299,0.0,0.0,0.0,0.9788,0.9046,0.9403,0.9033,0.945,0.9237,0.6022,0.4039,0.4792,0.6957,0.7991,0.7438,0.5783,0.8789,0.6973
500,sqrt,5.0,5,,0.5753,0.5816,0.7913,0.544,0.5753,0.5518,0.0376,0.194,0.4184,0.4247,-0.0063,0.0,0.0,0.0,0.5939,0.6707,0.6299,0.0,0.0,0.0,0.9788,0.9046,0.9403,0.9033,0.945,0.9237,0.6022,0.4039,0.4792,0.6957,0.7991,0.7438,0.5783,0.8789,0.6973
500,log2,5.0,2,,0.575,0.5816,0.7914,0.544,0.575,0.5514,0.0376,0.1939,0.4184,0.425,-0.0066,0.0,0.0,0.0,0.5935,0.6701,0.6294,0.0,0.0,0.0,0.9793,0.9048,0.9406,0.9031,0.9448,0.9234,0.6031,0.4,0.4764,0.6963,0.8001,0.7446,0.5766,0.8801,0.6966
500,sqrt,5.0,2,,0.575,0.5816,0.7914,0.544,0.575,0.5514,0.0376,0.1939,0.4184,0.425,-0.0066,0.0,0.0,0.0,0.5935,0.6701,0.6294,0.0,0.0,0.0,0.9793,0.9048,0.9406,0.9031,0.9448,0.9234,0.6031,0.4,0.4764,0.6963,0.8001,0.7446,0.5766,0.8801,0.6966
100,sqrt,5.0,2,,0.5749,0.582,0.7896,0.54,0.5749,0.5495,0.0377,0.1943,0.418,0.4251,-0.0071,0.0,0.0,0.0,0.5921,0.6674,0.6275,0.0,0.0,0.0,0.9766,0.9059,0.9399,0.9027,0.9429,0.9223,0.5865,0.4059,0.4752,0.6969,0.7935,0.7421,0.5648,0.8837,0.6891
100,log2,5.0,2,,0.5749,0.582,0.7896,0.54,0.5749,0.5495,0.0377,0.1943,0.418,0.4251,-0.0071,0.0,0.0,0.0,0.5921,0.6674,0.6275,0.0,0.0,0.0,0.9766,0.9059,0.9399,0.9027,0.9429,0.9223,0.5865,0.4059,0.4752,0.6969,0.7935,0.7421,0.5648,0.8837,0.6891
300,log2,5.0,2,,0.5731,0.5798,0.7912,0.5433,0.5731,0.5496,0.0377,0.1941,0.4202,0.4269,-0.0067,0.0,0.0,0.0,0.594,0.6719,0.6305,0.0,0.0,0.0,0.979,0.904,0.94,0.9037,0.9465,0.9246,0.6001,0.3804,0.4618,0.6958,0.7993,0.744,0.5741,0.8825,0.6956
300,log2,5.0,5,,0.5731,0.5794,0.7913,0.5439,0.5731,0.5501,0.0377,0.1941,0.4206,0.4269,-0.0063,0.0,0.0,0.0,0.5932,0.6707,0.6295,0.0,0.0,0.0,0.9788,0.9043,0.9401,0.9035,0.9467,0.9246,0.6033,0.3863,0.4668,0.6958,0.8003,0.7444,0.5767,0.8765,0.6955
300,sqrt,5.0,5,,0.5731,0.5794,0.7913,0.5439,0.5731,0.5501,0.0377,0.1941,0.4206,0.4269,-0.0063,0.0,0.0,0.0,0.5932,0.6707,0.6295,0.0,0.0,0.0,0.9788,0.9043,0.9401,0.9035,0.9467,0.9246,0.6033,0.3863,0.4668,0.6958,0.8003,0.7444,0.5767,0.8765,0.6955
300,sqrt,5.0,2,,0.5731,0.5798,0.7912,0.5433,0.5731,0.5496,0.0377,0.1941,0.4202,0.4269,-0.0067,0.0,0.0,0.0,0.594,0.6719,0.6305,0.0,0.0,0.0,0.979,0.904,0.94,0.9037,0.9465,0.9246,0.6001,0.3804,0.4618,0.6958,0.7993,0.744,0.5741,0.8825,0.6956
