n_components,n_estimators,max_features,max_depth,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
7,100,sqrt,5.0,balanced,0.713,0.7276,0.681,0.6506,0.713,0.6131,0.0515,0.2271,0.2724,0.287,-0.0146,0.2016,0.6458,0.307,0.7641,0.1029,0.1807,0.9244,0.9598,0.9406,0.9514,0.8638,0.9054,0.8591,0.9284,0.8924,0.2182,0.7627,0.3391,0.6653,0.5785,0.6184,0.6209,0.8621,0.7216
6,500,sqrt,,balanced,0.7114,0.9999,0.806,0.7726,0.7114,0.7231,0.0342,0.1848,0.0001,0.2886,-0.2886,0.405,0.082,0.1361,0.6253,0.5831,0.6032,0.9614,0.9593,0.9594,0.9446,0.9344,0.9395,0.9098,0.9684,0.9382,0.8128,0.5176,0.6315,0.6774,0.814,0.7392,0.8448,0.8321,0.8376
6,500,log2,,balanced,0.7114,0.9999,0.806,0.7726,0.7114,0.7231,0.0342,0.1848,0.0001,0.2886,-0.2886,0.405,0.082,0.1361,0.6253,0.5831,0.6032,0.9614,0.9593,0.9594,0.9446,0.9344,0.9395,0.9098,0.9684,0.9382,0.8128,0.5176,0.6315,0.6774,0.814,0.7392,0.8448,0.8321,0.8376
6,300,sqrt,,balanced,0.7113,0.9999,0.8053,0.7729,0.7113,0.7238,0.0342,0.1849,0.0001,0.2887,-0.2886,0.4043,0.0871,0.1432,0.6246,0.578,0.6001,0.9614,0.9593,0.9594,0.9433,0.9344,0.9388,0.9096,0.9687,0.9382,0.8167,0.5216,0.6355,0.6758,0.8132,0.738,0.8471,0.8286,0.8371
6,300,log2,,balanced,0.7113,0.9999,0.8053,0.7729,0.7113,0.7238,0.0342,0.1849,0.0001,0.2887,-0.2886,0.4043,0.0871,0.1432,0.6246,0.578,0.6001,0.9614,0.9593,0.9594,0.9433,0.9344,0.9388,0.9096,0.9687,0.9382,0.8167,0.5216,0.6355,0.6758,0.8132,0.738,0.8471,0.8286,0.8371
6,100,log2,,balanced,0.7097,0.9999,0.8028,0.7647,0.7097,0.721,0.0345,0.1856,0.0001,0.2903,-0.2902,0.3734,0.0881,0.1419,0.6154,0.5729,0.5932,0.9614,0.9593,0.9594,0.9444,0.9334,0.9388,0.9098,0.9677,0.9378,0.7985,0.5176,0.6273,0.6753,0.8078,0.7355,0.8391,0.8309,0.8341
6,300,log2,,,0.709,0.9999,0.8044,0.77,0.709,0.7202,0.0342,0.1848,0.0001,0.291,-0.2909,0.4189,0.087,0.1436,0.6183,0.5855,0.6012,0.9556,0.966,0.9596,0.9422,0.9334,0.9378,0.9128,0.9672,0.9392,0.7967,0.4941,0.6092,0.6784,0.8094,0.7379,0.8375,0.8297,0.8329
6,500,log2,,,0.7086,0.9999,0.8044,0.7678,0.7086,0.7186,0.0341,0.1846,0.0001,0.2914,-0.2914,0.3883,0.0739,0.123,0.6149,0.584,0.5988,0.9556,0.966,0.9596,0.9436,0.9341,0.9388,0.9124,0.9677,0.9392,0.8119,0.498,0.6161,0.6792,0.8104,0.7387,0.8367,0.8346,0.8348
6,500,sqrt,,,0.7086,0.9999,0.8044,0.7678,0.7086,0.7186,0.0341,0.1846,0.0001,0.2914,-0.2914,0.3883,0.0739,0.123,0.6149,0.584,0.5988,0.9556,0.966,0.9596,0.9436,0.9341,0.9388,0.9124,0.9677,0.9392,0.8119,0.498,0.6161,0.6792,0.8104,0.7387,0.8367,0.8346,0.8348
6,100,sqrt,,,0.7066,0.9999,0.8025,0.7669,0.7066,0.7186,0.0344,0.1855,0.0001,0.2934,-0.2933,0.3976,0.087,0.1424,0.6119,0.578,0.5943,0.9556,0.9522,0.9516,0.9419,0.9334,0.9376,0.9111,0.9675,0.9384,0.8019,0.5059,0.6191,0.6765,0.8062,0.7355,0.8388,0.8226,0.8297
6,100,log2,,,0.7066,0.9999,0.8025,0.7669,0.7066,0.7186,0.0344,0.1855,0.0001,0.2934,-0.2933,0.3976,0.087,0.1424,0.6119,0.578,0.5943,0.9556,0.9522,0.9516,0.9419,0.9334,0.9376,0.9111,0.9675,0.9384,0.8019,0.5059,0.6191,0.6765,0.8062,0.7355,0.8388,0.8226,0.8297
4,300,sqrt,10.0,balanced,0.6939,0.808,0.713,0.6402,0.6939,0.6491,0.0466,0.2158,0.192,0.3061,-0.1142,0.1891,0.3978,0.2562,0.5712,0.3498,0.4334,0.9092,0.9184,0.912,0.9388,0.8886,0.9129,0.9044,0.9557,0.9293,0.2758,0.6196,0.3814,0.6262,0.5627,0.5926,0.7069,0.8585,0.7748
4,300,log2,10.0,balanced,0.6939,0.808,0.713,0.6402,0.6939,0.6491,0.0466,0.2158,0.192,0.3061,-0.1142,0.1891,0.3978,0.2562,0.5712,0.3498,0.4334,0.9092,0.9184,0.912,0.9388,0.8886,0.9129,0.9044,0.9557,0.9293,0.2758,0.6196,0.3814,0.6262,0.5627,0.5926,0.7069,0.8585,0.7748
6,500,log2,5.0,balanced,0.6919,0.7075,0.6598,0.6364,0.6919,0.6003,0.0546,0.2337,0.2925,0.3081,-0.0156,0.173,0.5628,0.2645,0.7479,0.124,0.2124,0.9247,0.9595,0.9404,0.9412,0.8577,0.8975,0.8563,0.9212,0.8875,0.2085,0.7627,0.3274,0.6085,0.5068,0.5525,0.6308,0.8405,0.72
6,300,sqrt,5.0,balanced,0.6888,0.706,0.6612,0.6344,0.6888,0.6003,0.0546,0.2337,0.294,0.3112,-0.0172,0.1709,0.5354,0.259,0.7346,0.1267,0.216,0.93,0.9527,0.9397,0.9405,0.8588,0.8978,0.8562,0.9217,0.8877,0.2078,0.7588,0.3263,0.6064,0.5157,0.5569,0.629,0.8405,0.719
6,300,log2,5.0,balanced,0.6888,0.706,0.6612,0.6344,0.6888,0.6003,0.0546,0.2337,0.294,0.3112,-0.0172,0.1709,0.5354,0.259,0.7346,0.1267,0.216,0.93,0.9527,0.9397,0.9405,0.8588,0.8978,0.8562,0.9217,0.8877,0.2078,0.7588,0.3263,0.6064,0.5157,0.5569,0.629,0.8405,0.719
6,100,log2,5.0,balanced,0.6884,0.7065,0.6578,0.6341,0.6884,0.5991,0.0546,0.2336,0.2935,0.3116,-0.0181,0.1698,0.5466,0.259,0.7405,0.1297,0.2204,0.9247,0.9595,0.9404,0.9401,0.8568,0.8965,0.857,0.9224,0.8885,0.2033,0.7549,0.3201,0.6038,0.4992,0.5464,0.6336,0.8382,0.721
6,100,sqrt,5.0,balanced,0.6884,0.7065,0.6578,0.6341,0.6884,0.5991,0.0546,0.2336,0.2935,0.3116,-0.0181,0.1698,0.5466,0.259,0.7405,0.1297,0.2204,0.9247,0.9595,0.9404,0.9401,0.8568,0.8965,0.857,0.9224,0.8885,0.2033,0.7549,0.3201,0.6038,0.4992,0.5464,0.6336,0.8382,0.721
4,100,sqrt,10.0,balanced,0.6876,0.8081,0.7115,0.6394,0.6876,0.646,0.0466,0.2159,0.1919,0.3124,-0.1205,0.1848,0.3907,0.2508,0.5706,0.3534,0.4359,0.9198,0.9048,0.9103,0.9394,0.888,0.9129,0.9045,0.9544,0.9288,0.2647,0.598,0.3669,0.6259,0.561,0.5916,0.7055,0.8501,0.7708
7,500,log2,10.0,,0.6872,0.7815,0.8141,0.7972,0.6872,0.6951,0.0326,0.1805,0.2185,0.3128,-0.0943,0.5321,0.0111,0.0216,0.6077,0.6611,0.6331,0.962,0.9524,0.9555,0.963,0.9308,0.9466,0.9086,0.9641,0.9355,0.8453,0.3294,0.4727,0.7033,0.8431,0.7667,0.8553,0.8058,0.8291
7,300,sqrt,10.0,,0.686,0.7803,0.8137,0.7835,0.686,0.6929,0.0326,0.1806,0.2197,0.314,-0.0943,0.4333,0.0071,0.0138,0.6082,0.662,0.6337,0.9562,0.9524,0.9523,0.9622,0.9303,0.946,0.9095,0.9633,0.9357,0.8404,0.3255,0.4675,0.7021,0.8435,0.7662,0.8562,0.8034,0.8282
5,500,sqrt,5.0,balanced,0.6803,0.6952,0.6479,0.6318,0.6803,0.5925,0.0547,0.2339,0.3048,0.3197,-0.0149,0.1561,0.5313,0.2412,0.7387,0.1249,0.2131,0.9302,0.9595,0.9435,0.9446,0.8541,0.897,0.8578,0.9231,0.8892,0.1922,0.7412,0.3051,0.5866,0.4665,0.5194,0.648,0.8418,0.7316
5,500,log2,5.0,balanced,0.6803,0.6952,0.6479,0.6318,0.6803,0.5925,0.0547,0.2339,0.3048,0.3197,-0.0149,0.1561,0.5313,0.2412,0.7387,0.1249,0.2131,0.9302,0.9595,0.9435,0.9446,0.8541,0.897,0.8578,0.9231,0.8892,0.1922,0.7412,0.3051,0.5866,0.4665,0.5194,0.648,0.8418,0.7316
5,300,log2,5.0,balanced,0.6792,0.6947,0.6495,0.6323,0.6792,0.5928,0.0547,0.2339,0.3053,0.3208,-0.0155,0.1572,0.5232,0.2417,0.7407,0.1231,0.2106,0.9302,0.9595,0.9435,0.9454,0.8539,0.8973,0.8582,0.9219,0.8889,0.1888,0.7314,0.3,0.5885,0.4787,0.5277,0.649,0.8418,0.7323
5,100,log2,5.0,balanced,0.6777,0.6949,0.6523,0.6279,0.6777,0.5935,0.0545,0.2335,0.3051,0.3223,-0.0172,0.1561,0.4949,0.2373,0.7005,0.1195,0.2034,0.9319,0.9595,0.9438,0.9465,0.8539,0.8978,0.8554,0.9221,0.8875,0.1908,0.7294,0.3025,0.5887,0.4984,0.5397,0.6534,0.8442,0.736
5,100,sqrt,5.0,balanced,0.6777,0.6949,0.6523,0.6279,0.6777,0.5935,0.0545,0.2335,0.3051,0.3223,-0.0172,0.1561,0.4949,0.2373,0.7005,0.1195,0.2034,0.9319,0.9595,0.9438,0.9465,0.8539,0.8978,0.8554,0.9221,0.8875,0.1908,0.7294,0.3025,0.5887,0.4984,0.5397,0.6534,0.8442,0.736
3,500,sqrt,10.0,balanced,0.6771,0.7766,0.69,0.6295,0.6771,0.6283,0.0492,0.2218,0.2234,0.3229,-0.0995,0.1748,0.4251,0.2476,0.5731,0.3082,0.4006,0.915,0.9115,0.9109,0.9392,0.8755,0.9062,0.8933,0.9581,0.9245,0.2152,0.6098,0.3181,0.6039,0.5084,0.5519,0.7215,0.8201,0.7672
3,500,log2,10.0,balanced,0.6771,0.7766,0.69,0.6295,0.6771,0.6283,0.0492,0.2218,0.2234,0.3229,-0.0995,0.1748,0.4251,0.2476,0.5731,0.3082,0.4006,0.915,0.9115,0.9109,0.9392,0.8755,0.9062,0.8933,0.9581,0.9245,0.2152,0.6098,0.3181,0.6039,0.5084,0.5519,0.7215,0.8201,0.7672
3,300,sqrt,10.0,balanced,0.6767,0.7757,0.6905,0.6313,0.6767,0.6293,0.0492,0.2219,0.2243,0.3233,-0.0991,0.1725,0.417,0.244,0.5715,0.3104,0.402,0.9295,0.9115,0.9172,0.9405,0.8753,0.9067,0.8941,0.9581,0.925,0.2154,0.6098,0.3183,0.605,0.511,0.5539,0.7215,0.8201,0.7673
3,300,log2,10.0,balanced,0.6767,0.7757,0.6905,0.6313,0.6767,0.6293,0.0492,0.2219,0.2243,0.3233,-0.0991,0.1725,0.417,0.244,0.5715,0.3104,0.402,0.9295,0.9115,0.9172,0.9405,0.8753,0.9067,0.8941,0.9581,0.925,0.2154,0.6098,0.3183,0.605,0.511,0.5539,0.7215,0.8201,0.7673
3,100,sqrt,10.0,balanced,0.6762,0.7752,0.689,0.6306,0.6762,0.629,0.0493,0.222,0.2248,0.3238,-0.0989,0.1748,0.423,0.2473,0.5631,0.314,0.403,0.9349,0.9115,0.9202,0.9393,0.8755,0.9062,0.8949,0.9554,0.9241,0.2139,0.6098,0.3166,0.6019,0.503,0.5479,0.7223,0.8177,0.7666
3,100,log2,10.0,balanced,0.6762,0.7752,0.689,0.6306,0.6762,0.629,0.0493,0.222,0.2248,0.3238,-0.0989,0.1748,0.423,0.2473,0.5631,0.314,0.403,0.9349,0.9115,0.9202,0.9393,0.8755,0.9062,0.8949,0.9554,0.9241,0.2139,0.6098,0.3166,0.6019,0.503,0.5479,0.7223,0.8177,0.7666
6,300,log2,10.0,,0.6691,0.754,0.7868,0.7518,0.6691,0.677,0.0369,0.1921,0.246,0.3309,-0.0849,0.28,0.0031,0.006,0.6181,0.4955,0.5497,0.9556,0.9593,0.9562,0.9364,0.9203,0.9282,0.901,0.9687,0.9336,0.85,0.351,0.496,0.6235,0.8443,0.7172,0.8499,0.8106,0.8288
6,300,sqrt,10.0,,0.6691,0.754,0.7868,0.7518,0.6691,0.677,0.0369,0.1921,0.246,0.3309,-0.0849,0.28,0.0031,0.006,0.6181,0.4955,0.5497,0.9556,0.9593,0.9562,0.9364,0.9203,0.9282,0.901,0.9687,0.9336,0.85,0.351,0.496,0.6235,0.8443,0.7172,0.8499,0.8106,0.8288
6,500,log2,10.0,,0.669,0.7551,0.7876,0.7434,0.669,0.6775,0.0369,0.1921,0.2449,0.331,-0.0861,0.2,0.0041,0.0079,0.6187,0.4979,0.5514,0.9556,0.9524,0.9523,0.9369,0.9212,0.9289,0.9011,0.9677,0.9332,0.8593,0.351,0.4972,0.625,0.8451,0.7184,0.8502,0.8129,0.8304
6,100,log2,10.0,,0.6688,0.7527,0.786,0.7337,0.6688,0.6776,0.037,0.1923,0.2473,0.3312,-0.0839,0.14,0.0041,0.0079,0.6205,0.4967,0.5515,0.9551,0.9458,0.9487,0.9364,0.919,0.9276,0.8983,0.9682,0.9319,0.848,0.3647,0.5095,0.6217,0.8405,0.7146,0.8498,0.8118,0.8294
6,100,sqrt,10.0,,0.6688,0.7527,0.786,0.7337,0.6688,0.6776,0.037,0.1923,0.2473,0.3312,-0.0839,0.14,0.0041,0.0079,0.6205,0.4967,0.5515,0.9551,0.9458,0.9487,0.9364,0.919,0.9276,0.8983,0.9682,0.9319,0.848,0.3647,0.5095,0.6217,0.8405,0.7146,0.8498,0.8118,0.8294
4,100,sqrt,5.0,balanced,0.6669,0.6872,0.6487,0.6178,0.6669,0.5845,0.0546,0.2337,0.3128,0.3331,-0.0203,0.1487,0.4737,0.226,0.7114,0.1312,0.2206,0.863,0.9253,0.8903,0.9502,0.8482,0.8962,0.863,0.9267,0.8937,0.1895,0.7157,0.2996,0.5722,0.4883,0.5259,0.6448,0.8262,0.7232
4,100,log2,5.0,balanced,0.6669,0.6872,0.6487,0.6178,0.6669,0.5845,0.0546,0.2337,0.3128,0.3331,-0.0203,0.1487,0.4737,0.226,0.7114,0.1312,0.2206,0.863,0.9253,0.8903,0.9502,0.8482,0.8962,0.863,0.9267,0.8937,0.1895,0.7157,0.2996,0.5722,0.4883,0.5259,0.6448,0.8262,0.7232
5,500,log2,,balanced,0.6665,0.9999,0.7794,0.715,0.6665,0.6733,0.0375,0.1938,0.0001,0.3335,-0.3334,0.3459,0.0709,0.1173,0.5789,0.5244,0.5501,0.9612,0.9527,0.9557,0.9394,0.9288,0.934,0.9078,0.9651,0.9355,0.5226,0.2823,0.3656,0.6308,0.7746,0.6952,0.8335,0.8333,0.8325
4,300,log2,5.0,balanced,0.6661,0.6848,0.6491,0.6197,0.6661,0.5846,0.0546,0.2337,0.3152,0.3339,-0.0188,0.148,0.4736,0.2254,0.7147,0.1297,0.2189,0.8733,0.9253,0.896,0.9486,0.8503,0.8967,0.8627,0.9233,0.892,0.1861,0.7137,0.2951,0.5804,0.4924,0.5323,0.6437,0.8202,0.7203
4,500,sqrt,5.0,balanced,0.6656,0.6854,0.6518,0.6197,0.6656,0.5855,0.0546,0.2337,0.3146,0.3344,-0.0198,0.1468,0.4493,0.2213,0.7139,0.1291,0.218,0.8692,0.9253,0.8935,0.9488,0.8491,0.8961,0.8616,0.9245,0.892,0.1883,0.7196,0.2985,0.5784,0.5092,0.5413,0.6502,0.819,0.7239
5,300,log2,,balanced,0.6656,0.9999,0.7798,0.718,0.6656,0.6734,0.0376,0.1939,0.0001,0.3344,-0.3344,0.3741,0.079,0.1296,0.5794,0.5241,0.5502,0.9612,0.9527,0.9557,0.9401,0.9288,0.9344,0.9092,0.9651,0.9363,0.5105,0.2725,0.3543,0.6303,0.7774,0.6961,0.8388,0.825,0.8309
5,100,log2,,balanced,0.6654,0.9999,0.7773,0.7118,0.6654,0.6724,0.0379,0.1947,0.0001,0.3346,-0.3345,0.3259,0.0739,0.1197,0.5751,0.5157,0.5435,0.9612,0.9595,0.9595,0.94,0.9274,0.9337,0.9067,0.9658,0.9353,0.5211,0.2804,0.3635,0.6272,0.7728,0.6924,0.8371,0.8274,0.8315
5,100,sqrt,,balanced,0.6654,0.9999,0.7773,0.7118,0.6654,0.6724,0.0379,0.1947,0.0001,0.3346,-0.3345,0.3259,0.0739,0.1197,0.5751,0.5157,0.5435,0.9612,0.9595,0.9595,0.94,0.9274,0.9337,0.9067,0.9658,0.9353,0.5211,0.2804,0.3635,0.6272,0.7728,0.6924,0.8371,0.8274,0.8315
5,300,log2,,,0.6634,0.9999,0.7787,0.7133,0.6634,0.6691,0.0376,0.1939,0.0001,0.3366,-0.3366,0.3528,0.0709,0.1176,0.567,0.5289,0.5471,0.9496,0.9591,0.9526,0.9395,0.9309,0.9352,0.9105,0.9634,0.9362,0.5176,0.249,0.3349,0.6321,0.7704,0.6943,0.8375,0.8345,0.8351
5,100,sqrt,,,0.6625,0.9999,0.7778,0.712,0.6625,0.6692,0.0378,0.1945,0.0001,0.3375,-0.3374,0.3474,0.0769,0.1253,0.5699,0.5298,0.5489,0.9496,0.9455,0.9452,0.9398,0.9283,0.934,0.9083,0.9636,0.9351,0.5187,0.2627,0.3449,0.6305,0.7682,0.6925,0.8324,0.8249,0.8279
3,300,log2,5.0,balanced,0.6578,0.6777,0.6183,0.6193,0.6578,0.567,0.0572,0.2392,0.3223,0.3422,-0.0199,0.1369,0.6124,0.2237,0.7526,0.1231,0.2112,0.8491,0.932,0.8872,0.9498,0.8497,0.8969,0.872,0.9296,0.8999,0.1699,0.6843,0.2721,0.5583,0.3389,0.4214,0.6659,0.7926,0.7234
3,500,log2,5.0,balanced,0.6577,0.6788,0.6198,0.6178,0.6577,0.5677,0.0571,0.239,0.3212,0.3423,-0.0211,0.1377,0.6073,0.2244,0.7452,0.1273,0.2171,0.8491,0.932,0.8872,0.9497,0.8506,0.8974,0.8717,0.9289,0.8994,0.17,0.6804,0.2719,0.5585,0.3435,0.425,0.6604,0.7914,0.7196
3,500,sqrt,5.0,balanced,0.6577,0.6788,0.6198,0.6178,0.6577,0.5677,0.0571,0.239,0.3212,0.3423,-0.0211,0.1377,0.6073,0.2244,0.7452,0.1273,0.2171,0.8491,0.932,0.8872,0.9497,0.8506,0.8974,0.8717,0.9289,0.8994,0.17,0.6804,0.2719,0.5585,0.3435,0.425,0.6604,0.7914,0.7196
3,100,sqrt,5.0,balanced,0.6568,0.6762,0.6211,0.6128,0.6568,0.5662,0.0574,0.2395,0.3238,0.3432,-0.0194,0.1407,0.5911,0.2272,0.7391,0.127,0.2164,0.8394,0.9253,0.8786,0.9517,0.846,0.8957,0.8756,0.9217,0.898,0.1678,0.6843,0.2693,0.5551,0.3642,0.4396,0.6333,0.795,0.7044
3,100,log2,5.0,balanced,0.6568,0.6762,0.6211,0.6128,0.6568,0.5662,0.0574,0.2395,0.3238,0.3432,-0.0194,0.1407,0.5911,0.2272,0.7391,0.127,0.2164,0.8394,0.9253,0.8786,0.9517,0.846,0.8957,0.8756,0.9217,0.898,0.1678,0.6843,0.2693,0.5551,0.3642,0.4396,0.6333,0.795,0.7044
4,500,log2,,,0.6511,0.9999,0.7649,0.6932,0.6511,0.6577,0.0404,0.2011,0.0001,0.3489,-0.3488,0.3377,0.082,0.1315,0.5536,0.4952,0.5227,0.9487,0.9184,0.9302,0.9175,0.9218,0.9196,0.9015,0.9602,0.9299,0.4634,0.2745,0.3445,0.6238,0.7487,0.6805,0.7993,0.8082,0.8031
4,500,sqrt,,,0.6511,0.9999,0.7649,0.6932,0.6511,0.6577,0.0404,0.2011,0.0001,0.3489,-0.3488,0.3377,0.082,0.1315,0.5536,0.4952,0.5227,0.9487,0.9184,0.9302,0.9175,0.9218,0.9196,0.9015,0.9602,0.9299,0.4634,0.2745,0.3445,0.6238,0.7487,0.6805,0.7993,0.8082,0.8031
4,300,log2,,,0.6507,0.9999,0.7644,0.6937,0.6507,0.6577,0.0405,0.2012,0.0001,0.3493,-0.3492,0.3362,0.081,0.1302,0.5526,0.4922,0.5205,0.9487,0.9184,0.9302,0.9162,0.9215,0.9189,0.9013,0.9602,0.9298,0.4682,0.2765,0.3474,0.6227,0.7489,0.6799,0.8036,0.807,0.8047
4,100,log2,,,0.6495,0.9999,0.7628,0.6916,0.6495,0.6568,0.0407,0.2018,0.0001,0.3505,-0.3505,0.3294,0.083,0.1322,0.5522,0.4901,0.5192,0.948,0.9115,0.9266,0.9157,0.9203,0.918,0.9011,0.9607,0.9299,0.4636,0.2804,0.3492,0.6191,0.7441,0.6757,0.8035,0.8058,0.804
4,500,sqrt,,balanced,0.6486,0.9999,0.7632,0.6836,0.6486,0.6526,0.0406,0.2015,0.0001,0.3514,-0.3514,0.3082,0.076,0.1211,0.5507,0.4825,0.5144,0.9092,0.9117,0.9085,0.9166,0.923,0.9198,0.8999,0.9597,0.9289,0.4603,0.2745,0.3427,0.6208,0.7491,0.6789,0.8026,0.8118,0.8066
4,500,log2,,balanced,0.6486,0.9999,0.7632,0.6836,0.6486,0.6526,0.0406,0.2015,0.0001,0.3514,-0.3514,0.3082,0.076,0.1211,0.5507,0.4825,0.5144,0.9092,0.9117,0.9085,0.9166,0.923,0.9198,0.8999,0.9597,0.9289,0.4603,0.2745,0.3427,0.6208,0.7491,0.6789,0.8026,0.8118,0.8066
4,100,sqrt,,balanced,0.6473,0.9999,0.7616,0.6864,0.6473,0.6528,0.0409,0.2022,0.0001,0.3527,-0.3527,0.3299,0.078,0.1257,0.5493,0.4792,0.5118,0.9274,0.9117,0.918,0.9137,0.9212,0.9174,0.8977,0.959,0.9273,0.458,0.2804,0.3473,0.6197,0.7487,0.6781,0.7957,0.7998,0.797
4,300,sqrt,,balanced,0.646,0.9999,0.7621,0.6828,0.646,0.6508,0.0407,0.2016,0.0001,0.354,-0.3539,0.3104,0.076,0.1216,0.5501,0.4774,0.5112,0.9146,0.9051,0.9078,0.9157,0.9219,0.9188,0.8992,0.9605,0.9288,0.4589,0.2725,0.3409,0.6194,0.7503,0.6785,0.7944,0.8046,0.7989
4,300,log2,,balanced,0.646,0.9999,0.7621,0.6828,0.646,0.6508,0.0407,0.2016,0.0001,0.354,-0.3539,0.3104,0.076,0.1216,0.5501,0.4774,0.5112,0.9146,0.9051,0.9078,0.9157,0.9219,0.9188,0.8992,0.9605,0.9288,0.4589,0.2725,0.3409,0.6194,0.7503,0.6785,0.7944,0.8046,0.7989
5,100,log2,10.0,,0.6365,0.7182,0.7745,0.7276,0.6365,0.6342,0.0386,0.1964,0.2818,0.3635,-0.0817,0.4571,0.0122,0.0237,0.5886,0.4853,0.5317,0.9496,0.9593,0.9531,0.9389,0.9218,0.9303,0.9033,0.9672,0.9341,0.5413,0.1078,0.1773,0.6017,0.8186,0.6935,0.8403,0.8202,0.8295
5,300,sqrt,10.0,,0.6354,0.718,0.774,0.7298,0.6354,0.6328,0.0385,0.1963,0.282,0.3646,-0.0826,0.4767,0.0122,0.0237,0.5879,0.4862,0.5319,0.9556,0.9593,0.9562,0.9379,0.9216,0.9297,0.9037,0.967,0.9342,0.5377,0.1,0.1663,0.6014,0.817,0.6927,0.8372,0.8202,0.8281
5,300,log2,10.0,,0.6354,0.718,0.774,0.7298,0.6354,0.6328,0.0385,0.1963,0.282,0.3646,-0.0826,0.4767,0.0122,0.0237,0.5879,0.4862,0.5319,0.9556,0.9593,0.9562,0.9379,0.9216,0.9297,0.9037,0.967,0.9342,0.5377,0.1,0.1663,0.6014,0.817,0.6927,0.8372,0.8202,0.8281
5,500,log2,10.0,,0.6353,0.7179,0.7741,0.7226,0.6353,0.6332,0.0385,0.1962,0.2821,0.3647,-0.0826,0.4155,0.0122,0.0236,0.5873,0.4816,0.5289,0.9556,0.9593,0.9562,0.9386,0.9218,0.9301,0.9031,0.9672,0.934,0.5386,0.1019,0.1697,0.6011,0.8198,0.6936,0.841,0.8189,0.8294
5,500,sqrt,10.0,,0.6353,0.7179,0.7741,0.7226,0.6353,0.6332,0.0385,0.1962,0.2821,0.3647,-0.0826,0.4155,0.0122,0.0236,0.5873,0.4816,0.5289,0.9556,0.9593,0.9562,0.9386,0.9218,0.9301,0.9031,0.9672,0.934,0.5386,0.1019,0.1697,0.6011,0.8198,0.6936,0.841,0.8189,0.8294
4,500,sqrt,10.0,,0.6267,0.7109,0.7586,0.6963,0.6267,0.6281,0.0409,0.2021,0.2891,0.3733,-0.0842,0.3726,0.0173,0.0328,0.5563,0.435,0.4881,0.9537,0.9182,0.9332,0.9146,0.9158,0.9152,0.8981,0.9597,0.9279,0.4827,0.1667,0.2462,0.5919,0.7939,0.6782,0.8006,0.807,0.8031
4,500,log2,10.0,,0.6267,0.7109,0.7586,0.6963,0.6267,0.6281,0.0409,0.2021,0.2891,0.3733,-0.0842,0.3726,0.0173,0.0328,0.5563,0.435,0.4881,0.9537,0.9182,0.9332,0.9146,0.9158,0.9152,0.8981,0.9597,0.9279,0.4827,0.1667,0.2462,0.5919,0.7939,0.6782,0.8006,0.807,0.8031
4,100,sqrt,10.0,,0.624,0.7101,0.7574,0.6962,0.624,0.6261,0.041,0.2025,0.2899,0.376,-0.0861,0.3994,0.0203,0.0384,0.5537,0.4332,0.486,0.9537,0.9115,0.9297,0.9131,0.9157,0.9144,0.8984,0.9583,0.9274,0.4602,0.1589,0.2355,0.591,0.7923,0.677,0.7997,0.8022,0.8004
4,100,log2,10.0,,0.624,0.7101,0.7574,0.6962,0.624,0.6261,0.041,0.2025,0.2899,0.376,-0.0861,0.3994,0.0203,0.0384,0.5537,0.4332,0.486,0.9537,0.9115,0.9297,0.9131,0.9157,0.9144,0.8984,0.9583,0.9274,0.4602,0.1589,0.2355,0.591,0.7923,0.677,0.7997,0.8022,0.8004
8,500,log2,5.0,,0.6202,0.633,0.7776,0.727,0.6202,0.627,0.0404,0.2011,0.367,0.3798,-0.0128,0.0,0.0,0.0,0.5703,0.5653,0.5676,0.9861,0.8506,0.9106,0.9384,0.9083,0.9231,0.8697,0.9549,0.9103,0.9692,0.1039,0.1873,0.6452,0.8234,0.7234,0.8369,0.7554,0.7937
8,100,log2,5.0,,0.618,0.6329,0.776,0.7263,0.618,0.6258,0.0406,0.2015,0.3671,0.382,-0.0148,0.0,0.0,0.0,0.57,0.5584,0.5639,0.9861,0.8439,0.9064,0.94,0.9054,0.9224,0.8689,0.953,0.909,0.9692,0.1078,0.1933,0.6405,0.8276,0.722,0.8354,0.7482,0.7891
8,300,log2,5.0,,0.6177,0.6327,0.777,0.7277,0.6177,0.6247,0.0404,0.201,0.3673,0.3823,-0.015,0.0,0.0,0.0,0.5701,0.5641,0.5669,0.9856,0.8372,0.9034,0.9388,0.908,0.9231,0.8692,0.9559,0.9105,0.9833,0.1,0.1813,0.6435,0.822,0.7218,0.8312,0.7542,0.7904
