n_components,n_estimators,max_features,max_depth,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
9,100,sqrt,,balanced,0.7588,0.9999,0.8374,0.7988,0.7588,0.7665,0.0292,0.1709,0.0001,0.2412,-0.2412,0.4374,0.1255,0.1941,0.6485,0.6872,0.6671,0.9673,0.9662,0.9662,0.9608,0.9485,0.9546,0.9281,0.9694,0.9483,0.8093,0.698,0.7483,0.7552,0.8313,0.7913,0.8839,0.8441,0.8625
9,100,log2,,balanced,0.7588,0.9999,0.8374,0.7988,0.7588,0.7665,0.0292,0.1709,0.0001,0.2412,-0.2412,0.4374,0.1255,0.1941,0.6485,0.6872,0.6671,0.9673,0.9662,0.9662,0.9608,0.9485,0.9546,0.9281,0.9694,0.9483,0.8093,0.698,0.7483,0.7552,0.8313,0.7913,0.8839,0.8441,0.8625
8,500,log2,,balanced,0.7577,0.9999,0.8343,0.7941,0.7577,0.7651,0.0294,0.1714,0.0001,0.2423,-0.2423,0.4239,0.1336,0.2025,0.6399,0.6782,0.6584,0.9614,0.9731,0.9668,0.96,0.9488,0.9544,0.9252,0.9646,0.9445,0.8048,0.6961,0.7453,0.7537,0.8263,0.7881,0.8845,0.8406,0.8609
8,300,log2,,balanced,0.7574,0.9999,0.8343,0.796,0.7574,0.7651,0.0294,0.1715,0.0001,0.2426,-0.2425,0.435,0.1306,0.2003,0.6389,0.6785,0.6579,0.9614,0.9731,0.9668,0.961,0.9485,0.9547,0.9244,0.9646,0.944,0.8118,0.702,0.7518,0.7526,0.8276,0.7882,0.8833,0.8346,0.8574
9,500,log2,,balanced,0.7568,0.9999,0.837,0.7958,0.7568,0.7643,0.029,0.1704,0.0001,0.2432,-0.2431,0.4205,0.1174,0.1834,0.6462,0.686,0.6653,0.9614,0.9595,0.9598,0.9614,0.9482,0.9547,0.9289,0.9706,0.9492,0.8102,0.7039,0.7519,0.7538,0.832,0.7909,0.884,0.837,0.8589
8,100,log2,,balanced,0.7524,0.9999,0.832,0.7903,0.7524,0.761,0.0297,0.1723,0.0001,0.2476,-0.2475,0.3888,0.1225,0.1858,0.6358,0.6722,0.6533,0.9612,0.9595,0.9595,0.9606,0.9475,0.954,0.9244,0.9636,0.9436,0.8172,0.6902,0.7465,0.7491,0.827,0.786,0.8849,0.837,0.8594
8,500,sqrt,,balanced,0.7517,0.9999,0.8338,0.7912,0.7517,0.7588,0.0296,0.172,0.0001,0.2483,-0.2483,0.395,0.0992,0.1583,0.6384,0.6806,0.6587,0.9614,0.9595,0.9598,0.9599,0.9476,0.9537,0.9214,0.9672,0.9437,0.8155,0.6863,0.7441,0.7521,0.8301,0.789,0.8858,0.8429,0.8629
8,500,log2,,,0.751,0.9999,0.8337,0.7946,0.751,0.7605,0.0295,0.1718,0.0001,0.249,-0.2489,0.4125,0.1174,0.1828,0.6388,0.6818,0.6595,0.962,0.9591,0.9588,0.9594,0.9491,0.9542,0.9258,0.9641,0.9446,0.8269,0.6686,0.7373,0.7502,0.8276,0.7869,0.8817,0.8405,0.8599
8,300,sqrt,,,0.7507,0.9999,0.8349,0.8008,0.7507,0.761,0.0297,0.1722,0.0001,0.2493,-0.2492,0.4588,0.1185,0.1881,0.6437,0.6809,0.6616,0.962,0.9591,0.9588,0.9604,0.9486,0.9545,0.9219,0.9653,0.9431,0.8269,0.6588,0.7322,0.7494,0.8341,0.7893,0.8831,0.8405,0.8605
9,500,sqrt,,,0.7506,0.9999,0.8383,0.7984,0.7506,0.76,0.0291,0.1705,0.0001,0.2494,-0.2493,0.432,0.1093,0.1743,0.6483,0.6933,0.6698,0.9562,0.9522,0.9516,0.9629,0.949,0.9559,0.9288,0.9701,0.949,0.823,0.653,0.7264,0.7547,0.8389,0.7943,0.8818,0.8393,0.8591
8,100,sqrt,,balanced,0.7497,0.9999,0.8328,0.7928,0.7497,0.7588,0.0298,0.1727,0.0001,0.2503,-0.2502,0.4085,0.1104,0.1735,0.6382,0.674,0.6555,0.9614,0.9527,0.956,0.9604,0.9466,0.9534,0.9212,0.9668,0.9434,0.8206,0.6804,0.7428,0.7483,0.8317,0.7876,0.8836,0.8358,0.858
6,300,sqrt,10.0,balanced,0.7471,0.8519,0.7561,0.7019,0.7471,0.7096,0.0422,0.2055,0.1481,0.2529,-0.1048,0.2374,0.5102,0.3237,0.6556,0.379,0.4801,0.9612,0.9527,0.9557,0.95,0.8989,0.9237,0.9047,0.9602,0.9316,0.4931,0.7118,0.5811,0.6804,0.6736,0.6768,0.733,0.8909,0.8036
6,300,log2,10.0,balanced,0.7471,0.8519,0.7561,0.7019,0.7471,0.7096,0.0422,0.2055,0.1481,0.2529,-0.1048,0.2374,0.5102,0.3237,0.6556,0.379,0.4801,0.9612,0.9527,0.9557,0.95,0.8989,0.9237,0.9047,0.9602,0.9316,0.4931,0.7118,0.5811,0.6804,0.6736,0.6768,0.733,0.8909,0.8036
6,500,sqrt,10.0,balanced,0.7452,0.8513,0.7544,0.7004,0.7452,0.7076,0.0423,0.2056,0.1487,0.2548,-0.106,0.2321,0.5122,0.3192,0.6503,0.3759,0.4763,0.9612,0.9527,0.9557,0.9506,0.8995,0.9243,0.905,0.9588,0.9311,0.4901,0.7039,0.5766,0.6824,0.6693,0.6757,0.7315,0.8897,0.8021
6,100,log2,10.0,balanced,0.7446,0.8502,0.754,0.6991,0.7446,0.7068,0.0423,0.2056,0.1498,0.2554,-0.1056,0.2317,0.5081,0.3178,0.6487,0.3775,0.4772,0.9612,0.9595,0.9595,0.951,0.9002,0.9249,0.9048,0.959,0.9311,0.4807,0.6981,0.568,0.6815,0.6669,0.6739,0.7329,0.8873,0.8023
6,100,sqrt,10.0,balanced,0.7446,0.8502,0.754,0.6991,0.7446,0.7068,0.0423,0.2056,0.1498,0.2554,-0.1056,0.2317,0.5081,0.3178,0.6487,0.3775,0.4772,0.9612,0.9595,0.9595,0.951,0.9002,0.9249,0.9048,0.959,0.9311,0.4807,0.6981,0.568,0.6815,0.6669,0.6739,0.7329,0.8873,0.8023
8,500,sqrt,5.0,balanced,0.7375,0.7548,0.6963,0.6579,0.7375,0.6363,0.0514,0.2268,0.2452,0.2625,-0.0174,0.2036,0.6528,0.3104,0.7312,0.1246,0.2128,0.9182,0.9598,0.9374,0.9518,0.8605,0.9038,0.8549,0.9241,0.8881,0.3297,0.8784,0.4792,0.6736,0.623,0.6472,0.5997,0.8765,0.7119
8,500,log2,5.0,balanced,0.7367,0.7535,0.6963,0.6533,0.7367,0.6392,0.0499,0.2234,0.2465,0.2633,-0.0168,0.2027,0.6508,0.309,0.677,0.1397,0.2311,0.9294,0.9529,0.94,0.9541,0.8579,0.9034,0.8604,0.9178,0.8882,0.3393,0.8725,0.4886,0.6737,0.6221,0.6468,0.5903,0.8801,0.7063
8,100,sqrt,5.0,balanced,0.7363,0.7558,0.6955,0.6574,0.7363,0.637,0.0517,0.2274,0.2442,0.2637,-0.0195,0.2008,0.6538,0.3072,0.714,0.1346,0.2264,0.9292,0.9531,0.9401,0.9497,0.8591,0.9021,0.8615,0.9248,0.892,0.3199,0.8784,0.4688,0.6795,0.6147,0.6454,0.6047,0.8717,0.7138
8,300,log2,5.0,balanced,0.7359,0.7546,0.6974,0.6511,0.7359,0.6392,0.05,0.2236,0.2454,0.2641,-0.0186,0.2047,0.6437,0.3106,0.6599,0.1421,0.2335,0.9289,0.946,0.9363,0.9551,0.857,0.9034,0.8605,0.9188,0.8887,0.34,0.8765,0.4897,0.6738,0.6271,0.6496,0.5859,0.8765,0.702
9,500,sqrt,5.0,balanced,0.7352,0.7533,0.695,0.6524,0.7352,0.6359,0.0503,0.2242,0.2467,0.2648,-0.0181,0.2001,0.6427,0.3052,0.6906,0.1328,0.2223,0.9182,0.9598,0.9374,0.9529,0.8589,0.9034,0.8561,0.9214,0.8875,0.3251,0.8726,0.4737,0.6758,0.6189,0.646,0.6007,0.8741,0.7118
