kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
linear,50.0,0.01,balanced,3,0.8146,0.8415,0.8105,0.7585,0.8146,0.7665,0.0291,0.1706,0.1585,0.1854,-0.0269,0.3,0.6893,0.4171,0.7606,0.4148,0.5353,0.9123,0.9595,0.9346,0.9764,0.9308,0.953,0.9172,0.9506,0.9335,0.6268,0.8883,0.7342,0.794,0.7975,0.7956,0.7805,0.8861,0.829
linear,50.0,scale,balanced,3,0.8146,0.8415,0.8105,0.7585,0.8146,0.7665,0.0291,0.1706,0.1585,0.1854,-0.0269,0.3,0.6893,0.4171,0.7606,0.4148,0.5353,0.9123,0.9595,0.9346,0.9764,0.9308,0.953,0.9172,0.9506,0.9335,0.6268,0.8883,0.7342,0.794,0.7975,0.7956,0.7805,0.8861,0.829
linear,50.0,0.1,balanced,3,0.8146,0.8415,0.8105,0.7585,0.8146,0.7665,0.0291,0.1706,0.1585,0.1854,-0.0269,0.3,0.6893,0.4171,0.7606,0.4148,0.5353,0.9123,0.9595,0.9346,0.9764,0.9308,0.953,0.9172,0.9506,0.9335,0.6268,0.8883,0.7342,0.794,0.7975,0.7956,0.7805,0.8861,0.829
linear,50.0,0.01,balanced,2,0.8146,0.8415,0.8105,0.7585,0.8146,0.7665,0.0291,0.1706,0.1585,0.1854,-0.0269,0.3,0.6893,0.4171,0.7606,0.4148,0.5353,0.9123,0.9595,0.9346,0.9764,0.9308,0.953,0.9172,0.9506,0.9335,0.6268,0.8883,0.7342,0.794,0.7975,0.7956,0.7805,0.8861,0.829
linear,100.0,0.1,balanced,2,0.814,0.8419,0.8108,0.7585,0.814,0.7662,0.0292,0.1708,0.1581,0.186,-0.0279,0.3029,0.6943,0.4208,0.7614,0.4148,0.5356,0.9123,0.9595,0.9346,0.9752,0.9327,0.9535,0.9173,0.9513,0.9339,0.628,0.8883,0.7349,0.7951,0.7969,0.7958,0.7761,0.8741,0.8208
linear,100.0,0.05,balanced,3,0.814,0.8419,0.8108,0.7585,0.814,0.7662,0.0292,0.1708,0.1581,0.186,-0.0279,0.3029,0.6943,0.4208,0.7614,0.4148,0.5356,0.9123,0.9595,0.9346,0.9752,0.9327,0.9535,0.9173,0.9513,0.9339,0.628,0.8883,0.7349,0.7951,0.7969,0.7958,0.7761,0.8741,0.8208
linear,100.0,0.01,balanced,3,0.814,0.8419,0.8108,0.7585,0.814,0.7662,0.0292,0.1708,0.1581,0.186,-0.0279,0.3029,0.6943,0.4208,0.7614,0.4148,0.5356,0.9123,0.9595,0.9346,0.9752,0.9327,0.9535,0.9173,0.9513,0.9339,0.628,0.8883,0.7349,0.7951,0.7969,0.7958,0.7761,0.8741,0.8208
linear,100.0,0.001,balanced,3,0.814,0.8419,0.8108,0.7585,0.814,0.7662,0.0292,0.1708,0.1581,0.186,-0.0279,0.3029,0.6943,0.4208,0.7614,0.4148,0.5356,0.9123,0.9595,0.9346,0.9752,0.9327,0.9535,0.9173,0.9513,0.9339,0.628,0.8883,0.7349,0.7951,0.7969,0.7958,0.7761,0.8741,0.8208
linear,5.0,0.05,balanced,3,0.8139,0.834,0.8054,0.7483,0.8139,0.7596,0.0289,0.1699,0.166,0.1861,-0.0201,0.294,0.6822,0.4106,0.7645,0.4103,0.5329,0.9007,0.9664,0.9319,0.9781,0.9248,0.9508,0.9168,0.9472,0.9317,0.5952,0.8843,0.711,0.786,0.7871,0.7864,0.7511,0.9089,0.8218
linear,5.0,0.001,balanced,2,0.8139,0.834,0.8054,0.7483,0.8139,0.7596,0.0289,0.1699,0.166,0.1861,-0.0201,0.294,0.6822,0.4106,0.7645,0.4103,0.5329,0.9007,0.9664,0.9319,0.9781,0.9248,0.9508,0.9168,0.9472,0.9317,0.5952,0.8843,0.711,0.786,0.7871,0.7864,0.7511,0.9089,0.8218
