kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
rbf,0.1,auto,balanced,3,0.7743,0.7792,0.7504,0.6611,0.7743,0.6804,0.0342,0.1849,0.2208,0.2257,-0.0049,0.2728,0.6661,0.3859,0.705,0.3055,0.4232,0.6858,1.0,0.8115,0.9825,0.8788,0.9278,0.882,0.9086,0.895,0.3922,0.8372,0.5334,0.7156,0.7254,0.7204,0.6528,0.8729,0.7459
rbf,0.1,scale,balanced,3,0.7743,0.7792,0.7504,0.6611,0.7743,0.6804,0.0342,0.1849,0.2208,0.2257,-0.0049,0.2728,0.6661,0.3859,0.705,0.3055,0.4232,0.6858,1.0,0.8115,0.9825,0.8788,0.9278,0.882,0.9086,0.895,0.3922,0.8372,0.5334,0.7156,0.7254,0.7204,0.6528,0.8729,0.7459
rbf,50.0,0.05,,3,0.7737,0.81,0.8504,0.8138,0.7737,0.7713,0.0266,0.1632,0.19,0.2263,-0.0363,0.5591,0.0992,0.1582,0.6748,0.6981,0.6862,0.9114,0.9662,0.9379,0.968,0.9555,0.9617,0.9196,0.96,0.9393,0.8123,0.7608,0.7835,0.775,0.8721,0.8205,0.89,0.8777,0.8832
rbf,25.0,scale,,3,0.7717,0.8224,0.8486,0.8096,0.7717,0.7719,0.0269,0.164,0.1776,0.2283,-0.0508,0.5399,0.1184,0.1871,0.6746,0.6887,0.6816,0.917,0.9662,0.9409,0.9674,0.9549,0.9611,0.923,0.9605,0.9413,0.7868,0.7412,0.7615,0.7689,0.8694,0.816,0.8996,0.8741,0.8859
rbf,25.0,auto,,2,0.7717,0.8224,0.8486,0.8096,0.7717,0.7719,0.0269,0.164,0.1776,0.2283,-0.0508,0.5399,0.1184,0.1871,0.6746,0.6887,0.6816,0.917,0.9662,0.9409,0.9674,0.9549,0.9611,0.923,0.9605,0.9413,0.7868,0.7412,0.7615,0.7689,0.8694,0.816,0.8996,0.8741,0.8859
rbf,25.0,auto,,3,0.7717,0.8224,0.8486,0.8096,0.7717,0.7719,0.0269,0.164,0.1776,0.2283,-0.0508,0.5399,0.1184,0.1871,0.6746,0.6887,0.6816,0.917,0.9662,0.9409,0.9674,0.9549,0.9611,0.923,0.9605,0.9413,0.7868,0.7412,0.7615,0.7689,0.8694,0.816,0.8996,0.8741,0.8859
rbf,25.0,scale,,2,0.7717,0.8224,0.8486,0.8096,0.7717,0.7719,0.0269,0.164,0.1776,0.2283,-0.0508,0.5399,0.1184,0.1871,0.6746,0.6887,0.6816,0.917,0.9662,0.9409,0.9674,0.9549,0.9611,0.923,0.9605,0.9413,0.7868,0.7412,0.7615,0.7689,0.8694,0.816,0.8996,0.8741,0.8859
rbf,25.0,0.1,,2,0.7717,0.8224,0.8486,0.8096,0.7717,0.7719,0.0269,0.164,0.1776,0.2283,-0.0508,0.5399,0.1184,0.1871,0.6746,0.6887,0.6816,0.917,0.9662,0.9409,0.9674,0.9549,0.9611,0.923,0.9605,0.9413,0.7868,0.7412,0.7615,0.7689,0.8694,0.816,0.8996,0.8741,0.8859
rbf,10.0,auto,,3,0.7686,0.8029,0.8483,0.7986,0.7686,0.7657,0.0272,0.1649,0.1971,0.2314,-0.0344,0.4544,0.085,0.1359,0.6728,0.6951,0.6837,0.9211,0.9795,0.9483,0.9668,0.9544,0.9606,0.9245,0.9631,0.9434,0.7909,0.7216,0.7535,0.7674,0.8696,0.8152,0.8913,0.8801,0.8853
rbf,10.0,scale,,3,0.7686,0.8029,0.8483,0.7986,0.7686,0.7657,0.0272,0.1649,0.1971,0.2314,-0.0344,0.4544,0.085,0.1359,0.6728,0.6951,0.6837,0.9211,0.9795,0.9483,0.9668,0.9544,0.9606,0.9245,0.9631,0.9434,0.7909,0.7216,0.7535,0.7674,0.8696,0.8152,0.8913,0.8801,0.8853
rbf,25.0,0.05,,2,0.7686,0.7987,0.8485,0.7978,0.7686,0.7634,0.0269,0.1641,0.2013,0.2314,-0.0301,0.4509,0.0658,0.1091,0.6677,0.6996,0.6832,0.908,0.9795,0.9418,0.9675,0.954,0.9607,0.9214,0.9614,0.9409,0.8003,0.7412,0.7682,0.7712,0.872,0.8184,0.8953,0.8753,0.8848
rbf,5.0,0.001,balanced,2,0.7644,0.7623,0.7442,0.6549,0.7644,0.6668,0.037,0.1922,0.2377,0.2356,0.0021,0.2741,0.6742,0.3895,0.7718,0.2823,0.4125,0.6611,1.0,0.7928,0.9802,0.8831,0.9291,0.8527,0.8694,0.861,0.3592,0.7941,0.4944,0.7164,0.7451,0.7304,0.6236,0.8669,0.725
rbf,5.0,0.001,balanced,3,0.7644,0.7623,0.7442,0.6549,0.7644,0.6668,0.037,0.1922,0.2377,0.2356,0.0021,0.2741,0.6742,0.3895,0.7718,0.2823,0.4125,0.6611,1.0,0.7928,0.9802,0.8831,0.9291,0.8527,0.8694,0.861,0.3592,0.7941,0.4944,0.7164,0.7451,0.7304,0.6236,0.8669,0.725
poly,5.0,0.1,balanced,3,0.7603,0.7938,0.768,0.7505,0.7603,0.7293,0.0365,0.1909,0.2062,0.2397,-0.0335,0.311,0.5152,0.3877,0.8094,0.2772,0.4123,0.9232,0.9529,0.937,0.991,0.8344,0.9059,0.9301,0.911,0.9204,0.606,0.7941,0.6869,0.6126,0.9106,0.7323,0.8209,0.8873,0.8518
rbf,0.1,0.05,balanced,2,0.7593,0.7601,0.7338,0.6439,0.7593,0.6562,0.036,0.1898,0.2399,0.2407,-0.0008,0.2586,0.6539,0.37,0.7191,0.2525,0.3713,0.6629,1.0,0.7958,0.9804,0.8785,0.9267,0.8639,0.8718,0.8678,0.334,0.8196,0.4746,0.7066,0.724,0.7149,0.6255,0.8741,0.7288
rbf,5.0,0.1,,2,0.7581,0.7859,0.8441,0.7946,0.7581,0.7505,0.0276,0.1662,0.2141,0.2419,-0.0278,0.4884,0.0405,0.0705,0.662,0.6951,0.6781,0.88,0.9795,0.9267,0.9697,0.9513,0.9604,0.9186,0.9646,0.9409,0.7985,0.6941,0.7417,0.7594,0.8672,0.8096,0.88,0.8729,0.8761
rbf,5.0,auto,,2,0.7581,0.7859,0.8441,0.7946,0.7581,0.7505,0.0276,0.1662,0.2141,0.2419,-0.0278,0.4884,0.0405,0.0705,0.662,0.6951,0.6781,0.88,0.9795,0.9267,0.9697,0.9513,0.9604,0.9186,0.9646,0.9409,0.7985,0.6941,0.7417,0.7594,0.8672,0.8096,0.88,0.8729,0.8761
rbf,5.0,0.1,,3,0.7581,0.7859,0.8441,0.7946,0.7581,0.7505,0.0276,0.1662,0.2141,0.2419,-0.0278,0.4884,0.0405,0.0705,0.662,0.6951,0.6781,0.88,0.9795,0.9267,0.9697,0.9513,0.9604,0.9186,0.9646,0.9409,0.7985,0.6941,0.7417,0.7594,0.8672,0.8096,0.88,0.8729,0.8761
rbf,50.0,0.01,,3,0.7571,0.7752,0.8417,0.7385,0.7571,0.7433,0.0278,0.1666,0.2248,0.2429,-0.0181,0.05,0.001,0.002,0.6519,0.6975,0.6737,0.8855,0.9864,0.933,0.9724,0.9423,0.9571,0.9053,0.9655,0.9344,0.7941,0.7177,0.7532,0.7615,0.871,0.8124,0.8867,0.8753,0.8805
rbf,10.0,0.05,,2,0.7571,0.7791,0.8446,0.7764,0.7571,0.746,0.0275,0.1659,0.2209,0.2429,-0.0221,0.33,0.0081,0.0158,0.6583,0.7062,0.6812,0.8898,0.9795,0.9324,0.9713,0.9493,0.9601,0.9156,0.965,0.9396,0.7988,0.7059,0.7481,0.7621,0.8696,0.8122,0.8852,0.8729,0.8787
poly,25.0,0.05,balanced,3,0.7519,0.7846,0.7609,0.7482,0.7519,0.7214,0.037,0.1923,0.2154,0.2481,-0.0327,0.3006,0.4879,0.3716,0.8188,0.2574,0.3906,0.9232,0.9529,0.937,0.9913,0.8264,0.9014,0.9323,0.9005,0.916,0.5965,0.7863,0.6775,0.599,0.919,0.7251,0.8239,0.8849,0.8524
linear,10.0,0.001,,3,0.7491,0.7656,0.8367,0.7309,0.7491,0.7385,0.0289,0.1701,0.2344,0.2509,-0.0165,0.0,0.0,0.0,0.6464,0.6857,0.665,0.907,0.9731,0.9386,0.9671,0.9437,0.9552,0.8993,0.9651,0.931,0.7939,0.7098,0.7486,0.7552,0.8608,0.8042,0.8785,0.8549,0.8658
linear,10.0,scale,,3,0.7491,0.7656,0.8367,0.7309,0.7491,0.7385,0.0289,0.1701,0.2344,0.2509,-0.0165,0.0,0.0,0.0,0.6464,0.6857,0.665,0.907,0.9731,0.9386,0.9671,0.9437,0.9552,0.8993,0.9651,0.931,0.7939,0.7098,0.7486,0.7552,0.8608,0.8042,0.8785,0.8549,0.8658
linear,10.0,0.1,,2,0.7491,0.7656,0.8367,0.7309,0.7491,0.7385,0.0289,0.1701,0.2344,0.2509,-0.0165,0.0,0.0,0.0,0.6464,0.6857,0.665,0.907,0.9731,0.9386,0.9671,0.9437,0.9552,0.8993,0.9651,0.931,0.7939,0.7098,0.7486,0.7552,0.8608,0.8042,0.8785,0.8549,0.8658
linear,10.0,auto,,3,0.7491,0.7656,0.8367,0.7309,0.7491,0.7385,0.0289,0.1701,0.2344,0.2509,-0.0165,0.0,0.0,0.0,0.6464,0.6857,0.665,0.907,0.9731,0.9386,0.9671,0.9437,0.9552,0.8993,0.9651,0.931,0.7939,0.7098,0.7486,0.7552,0.8608,0.8042,0.8785,0.8549,0.8658
linear,10.0,0.05,,3,0.7491,0.7656,0.8367,0.7309,0.7491,0.7385,0.0289,0.1701,0.2344,0.2509,-0.0165,0.0,0.0,0.0,0.6464,0.6857,0.665,0.907,0.9731,0.9386,0.9671,0.9437,0.9552,0.8993,0.9651,0.931,0.7939,0.7098,0.7486,0.7552,0.8608,0.8042,0.8785,0.8549,0.8658
linear,10.0,scale,,2,0.7491,0.7656,0.8367,0.7309,0.7491,0.7385,0.0289,0.1701,0.2344,0.2509,-0.0165,0.0,0.0,0.0,0.6464,0.6857,0.665,0.907,0.9731,0.9386,0.9671,0.9437,0.9552,0.8993,0.9651,0.931,0.7939,0.7098,0.7486,0.7552,0.8608,0.8042,0.8785,0.8549,0.8658
linear,10.0,0.05,,2,0.7491,0.7656,0.8367,0.7309,0.7491,0.7385,0.0289,0.1701,0.2344,0.2509,-0.0165,0.0,0.0,0.0,0.6464,0.6857,0.665,0.907,0.9731,0.9386,0.9671,0.9437,0.9552,0.8993,0.9651,0.931,0.7939,0.7098,0.7486,0.7552,0.8608,0.8042,0.8785,0.8549,0.8658
linear,100.0,scale,,2,0.749,0.7715,0.8364,0.7309,0.749,0.7386,0.0293,0.1712,0.2285,0.251,-0.0226,0.0,0.0,0.0,0.6445,0.6882,0.6651,0.9181,0.9595,0.9377,0.9645,0.9446,0.9544,0.9034,0.9622,0.9318,0.7884,0.7353,0.7593,0.7567,0.859,0.8043,0.8713,0.8429,0.8562
linear,100.0,0.01,,2,0.749,0.7715,0.8364,0.7309,0.749,0.7386,0.0293,0.1712,0.2285,0.251,-0.0226,0.0,0.0,0.0,0.6445,0.6882,0.6651,0.9181,0.9595,0.9377,0.9645,0.9446,0.9544,0.9034,0.9622,0.9318,0.7884,0.7353,0.7593,0.7567,0.859,0.8043,0.8713,0.8429,0.8562
linear,100.0,scale,,3,0.749,0.7715,0.8364,0.7309,0.749,0.7386,0.0293,0.1712,0.2285,0.251,-0.0226,0.0,0.0,0.0,0.6445,0.6882,0.6651,0.9181,0.9595,0.9377,0.9645,0.9446,0.9544,0.9034,0.9622,0.9318,0.7884,0.7353,0.7593,0.7567,0.859,0.8043,0.8713,0.8429,0.8562
linear,100.0,auto,,2,0.749,0.7715,0.8364,0.7309,0.749,0.7386,0.0293,0.1712,0.2285,0.251,-0.0226,0.0,0.0,0.0,0.6445,0.6882,0.6651,0.9181,0.9595,0.9377,0.9645,0.9446,0.9544,0.9034,0.9622,0.9318,0.7884,0.7353,0.7593,0.7567,0.859,0.8043,0.8713,0.8429,0.8562
rbf,5.0,0.05,,3,0.7489,0.7634,0.8404,0.7414,0.7489,0.7402,0.028,0.1673,0.2366,0.2511,-0.0145,0.05,0.001,0.002,0.6523,0.6966,0.6736,0.9144,0.9731,0.942,0.9717,0.9444,0.9579,0.9084,0.9662,0.9364,0.8048,0.6667,0.7277,0.7548,0.8688,0.8077,0.8748,0.8741,0.874
linear,50.0,auto,,2,0.7477,0.7699,0.8363,0.7298,0.7477,0.7375,0.0292,0.1709,0.2301,0.2523,-0.0222,0.0,0.0,0.0,0.6452,0.6882,0.6655,0.9181,0.9595,0.9377,0.9653,0.9443,0.9547,0.904,0.9624,0.9322,0.7856,0.7177,0.7493,0.7557,0.8594,0.8039,0.8648,0.8501,0.8567
linear,50.0,0.001,,3,0.7477,0.7699,0.8363,0.7298,0.7477,0.7375,0.0292,0.1709,0.2301,0.2523,-0.0222,0.0,0.0,0.0,0.6452,0.6882,0.6655,0.9181,0.9595,0.9377,0.9653,0.9443,0.9547,0.904,0.9624,0.9322,0.7856,0.7177,0.7493,0.7557,0.8594,0.8039,0.8648,0.8501,0.8567
linear,50.0,scale,,2,0.7477,0.7699,0.8363,0.7298,0.7477,0.7375,0.0292,0.1709,0.2301,0.2523,-0.0222,0.0,0.0,0.0,0.6452,0.6882,0.6655,0.9181,0.9595,0.9377,0.9653,0.9443,0.9547,0.904,0.9624,0.9322,0.7856,0.7177,0.7493,0.7557,0.8594,0.8039,0.8648,0.8501,0.8567
linear,50.0,0.1,,2,0.7477,0.7699,0.8363,0.7298,0.7477,0.7375,0.0292,0.1709,0.2301,0.2523,-0.0222,0.0,0.0,0.0,0.6452,0.6882,0.6655,0.9181,0.9595,0.9377,0.9653,0.9443,0.9547,0.904,0.9624,0.9322,0.7856,0.7177,0.7493,0.7557,0.8594,0.8039,0.8648,0.8501,0.8567
linear,50.0,0.01,,3,0.7477,0.7699,0.8363,0.7298,0.7477,0.7375,0.0292,0.1709,0.2301,0.2523,-0.0222,0.0,0.0,0.0,0.6452,0.6882,0.6655,0.9181,0.9595,0.9377,0.9653,0.9443,0.9547,0.904,0.9624,0.9322,0.7856,0.7177,0.7493,0.7557,0.8594,0.8039,0.8648,0.8501,0.8567
linear,25.0,0.001,,2,0.7475,0.7701,0.837,0.731,0.7475,0.7378,0.029,0.1702,0.2299,0.2525,-0.0226,0.0,0.0,0.0,0.6449,0.6903,0.6664,0.9128,0.9595,0.9348,0.9665,0.9441,0.9551,0.905,0.9639,0.9334,0.7952,0.7118,0.7502,0.7559,0.8604,0.8044,0.8678,0.8501,0.8582
linear,25.0,0.1,,2,0.7475,0.7701,0.837,0.731,0.7475,0.7378,0.029,0.1702,0.2299,0.2525,-0.0226,0.0,0.0,0.0,0.6449,0.6903,0.6664,0.9128,0.9595,0.9348,0.9665,0.9441,0.9551,0.905,0.9639,0.9334,0.7952,0.7118,0.7502,0.7559,0.8604,0.8044,0.8678,0.8501,0.8582
linear,25.0,scale,,2,0.7475,0.7701,0.837,0.731,0.7475,0.7378,0.029,0.1702,0.2299,0.2525,-0.0226,0.0,0.0,0.0,0.6449,0.6903,0.6664,0.9128,0.9595,0.9348,0.9665,0.9441,0.9551,0.905,0.9639,0.9334,0.7952,0.7118,0.7502,0.7559,0.8604,0.8044,0.8678,0.8501,0.8582
linear,25.0,0.01,,3,0.7475,0.7701,0.837,0.731,0.7475,0.7378,0.029,0.1702,0.2299,0.2525,-0.0226,0.0,0.0,0.0,0.6449,0.6903,0.6664,0.9128,0.9595,0.9348,0.9665,0.9441,0.9551,0.905,0.9639,0.9334,0.7952,0.7118,0.7502,0.7559,0.8604,0.8044,0.8678,0.8501,0.8582
poly,100.0,scale,,3,0.7474,0.8017,0.8255,0.7871,0.7474,0.7485,0.0362,0.1902,0.1983,0.2526,-0.0544,0.4827,0.0992,0.1632,0.6737,0.5993,0.634,0.9301,0.9529,0.9403,0.9818,0.9159,0.9477,0.9266,0.9448,0.9355,0.7332,0.6824,0.7052,0.6902,0.9034,0.7825,0.8789,0.8813,0.8799
poly,100.0,auto,,3,0.7474,0.8017,0.8255,0.7871,0.7474,0.7485,0.0362,0.1902,0.1983,0.2526,-0.0544,0.4827,0.0992,0.1632,0.6737,0.5993,0.634,0.9301,0.9529,0.9403,0.9818,0.9159,0.9477,0.9266,0.9448,0.9355,0.7332,0.6824,0.7052,0.6902,0.9034,0.7825,0.8789,0.8813,0.8799
linear,5.0,0.001,,3,0.746,0.7633,0.8348,0.7305,0.746,0.7366,0.029,0.1704,0.2367,0.254,-0.0173,0.0,0.0,0.0,0.6443,0.6821,0.6622,0.9133,0.9731,0.9418,0.9683,0.9406,0.9542,0.8971,0.9643,0.9294,0.7949,0.6981,0.7427,0.7508,0.862,0.8022,0.8755,0.8477,0.8606
linear,5.0,scale,,2,0.746,0.7633,0.8348,0.7305,0.746,0.7366,0.029,0.1704,0.2367,0.254,-0.0173,0.0,0.0,0.0,0.6443,0.6821,0.6622,0.9133,0.9731,0.9418,0.9683,0.9406,0.9542,0.8971,0.9643,0.9294,0.7949,0.6981,0.7427,0.7508,0.862,0.8022,0.8755,0.8477,0.8606
linear,5.0,scale,,3,0.746,0.7633,0.8348,0.7305,0.746,0.7366,0.029,0.1704,0.2367,0.254,-0.0173,0.0,0.0,0.0,0.6443,0.6821,0.6622,0.9133,0.9731,0.9418,0.9683,0.9406,0.9542,0.8971,0.9643,0.9294,0.7949,0.6981,0.7427,0.7508,0.862,0.8022,0.8755,0.8477,0.8606
linear,5.0,0.01,,2,0.746,0.7633,0.8348,0.7305,0.746,0.7366,0.029,0.1704,0.2367,0.254,-0.0173,0.0,0.0,0.0,0.6443,0.6821,0.6622,0.9133,0.9731,0.9418,0.9683,0.9406,0.9542,0.8971,0.9643,0.9294,0.7949,0.6981,0.7427,0.7508,0.862,0.8022,0.8755,0.8477,0.8606
rbf,25.0,0.01,,2,0.7456,0.7551,0.8376,0.7327,0.7456,0.7368,0.0283,0.1681,0.2449,0.2544,-0.0095,0.0,0.0,0.0,0.646,0.683,0.6637,0.9082,0.9729,0.9388,0.9728,0.9397,0.956,0.8929,0.9696,0.9296,0.8047,0.649,0.7174,0.7565,0.87,0.8091,0.8804,0.8801,0.8797
rbf,25.0,0.01,,3,0.7456,0.7551,0.8376,0.7327,0.7456,0.7368,0.0283,0.1681,0.2449,0.2544,-0.0095,0.0,0.0,0.0,0.646,0.683,0.6637,0.9082,0.9729,0.9388,0.9728,0.9397,0.956,0.8929,0.9696,0.9296,0.8047,0.649,0.7174,0.7565,0.87,0.8091,0.8804,0.8801,0.8797
poly,100.0,0.1,,2,0.7441,0.7885,0.8289,0.8053,0.7441,0.7448,0.0334,0.1826,0.2115,0.2559,-0.0444,0.6045,0.0688,0.1155,0.6683,0.6352,0.6512,0.9168,0.9529,0.9338,0.9653,0.9238,0.944,0.9035,0.9583,0.93,0.7755,0.6784,0.722,0.7195,0.8837,0.793,0.8892,0.8513,0.8689
poly,1.0,0.1,balanced,2,0.7408,0.7541,0.7281,0.6845,0.7408,0.6838,0.0428,0.207,0.2459,0.2592,-0.0133,0.3011,0.5101,0.3782,0.6723,0.2264,0.3376,0.8471,0.9933,0.9136,0.9799,0.7769,0.8666,0.8506,0.8973,0.8732,0.4776,0.8215,0.6039,0.6045,0.8648,0.7115,0.7427,0.8358,0.7857
linear,1.0,0.001,,2,0.7385,0.7487,0.8327,0.7253,0.7385,0.7291,0.0296,0.1719,0.2513,0.2615,-0.0102,0.0,0.0,0.0,0.6449,0.674,0.6587,0.8808,0.9864,0.9302,0.9706,0.9381,0.954,0.8839,0.9677,0.9239,0.7992,0.6275,0.7026,0.7498,0.8658,0.8034,0.8731,0.8489,0.8602
poly,10.0,0.05,balanced,3,0.734,0.7587,0.7424,0.7407,0.734,0.7025,0.0389,0.1972,0.2413,0.266,-0.0247,0.2916,0.4403,0.3487,0.8405,0.2158,0.3426,0.9291,0.9598,0.9437,0.992,0.8076,0.8904,0.9331,0.8713,0.901,0.5587,0.7823,0.6517,0.5666,0.9289,0.7036,0.8138,0.8657,0.8381
linear,0.5,0.01,,2,0.7288,0.7301,0.8276,0.7241,0.7288,0.7225,0.0301,0.1735,0.2699,0.2712,-0.0013,0.0,0.0,0.0,0.6411,0.662,0.651,0.9092,0.9867,0.9458,0.9707,0.9347,0.9523,0.8724,0.9658,0.9166,0.8091,0.5706,0.669,0.7431,0.864,0.7988,0.8476,0.8465,0.8467
linear,0.5,scale,,2,0.7288,0.7301,0.8276,0.7241,0.7288,0.7225,0.0301,0.1735,0.2699,0.2712,-0.0013,0.0,0.0,0.0,0.6411,0.662,0.651,0.9092,0.9867,0.9458,0.9707,0.9347,0.9523,0.8724,0.9658,0.9166,0.8091,0.5706,0.669,0.7431,0.864,0.7988,0.8476,0.8465,0.8467
linear,0.5,0.1,,3,0.7288,0.7301,0.8276,0.7241,0.7288,0.7225,0.0301,0.1735,0.2699,0.2712,-0.0013,0.0,0.0,0.0,0.6411,0.662,0.651,0.9092,0.9867,0.9458,0.9707,0.9347,0.9523,0.8724,0.9658,0.9166,0.8091,0.5706,0.669,0.7431,0.864,0.7988,0.8476,0.8465,0.8467
rbf,1.0,0.001,balanced,3,0.7281,0.7243,0.6948,0.6248,0.7281,0.6107,0.0427,0.2067,0.2757,0.2719,0.0037,0.2224,0.7156,0.3388,0.7869,0.1276,0.2183,0.6313,1.0,0.7712,0.9509,0.8851,0.9168,0.8182,0.8245,0.8214,0.3296,0.7431,0.4564,0.6907,0.6675,0.6785,0.5679,0.8609,0.684
rbf,1.0,0.001,balanced,2,0.7281,0.7243,0.6948,0.6248,0.7281,0.6107,0.0427,0.2067,0.2757,0.2719,0.0037,0.2224,0.7156,0.3388,0.7869,0.1276,0.2183,0.6313,1.0,0.7712,0.9509,0.8851,0.9168,0.8182,0.8245,0.8214,0.3296,0.7431,0.4564,0.6907,0.6675,0.6785,0.5679,0.8609,0.684
rbf,1.0,0.1,,3,0.7271,0.74,0.832,0.73,0.7271,0.7237,0.0291,0.1705,0.26,0.2729,-0.0129,0.0,0.0,0.0,0.6465,0.6713,0.6586,0.9057,0.9595,0.9314,0.9736,0.9394,0.9562,0.8914,0.9699,0.9289,0.8306,0.5549,0.6633,0.738,0.8684,0.7978,0.854,0.8537,0.8534
rbf,1.0,auto,,2,0.7271,0.74,0.832,0.73,0.7271,0.7237,0.0291,0.1705,0.26,0.2729,-0.0129,0.0,0.0,0.0,0.6465,0.6713,0.6586,0.9057,0.9595,0.9314,0.9736,0.9394,0.9562,0.8914,0.9699,0.9289,0.8306,0.5549,0.6633,0.738,0.8684,0.7978,0.854,0.8537,0.8534
rbf,1.0,0.1,,2,0.7271,0.74,0.832,0.73,0.7271,0.7237,0.0291,0.1705,0.26,0.2729,-0.0129,0.0,0.0,0.0,0.6465,0.6713,0.6586,0.9057,0.9595,0.9314,0.9736,0.9394,0.9562,0.8914,0.9699,0.9289,0.8306,0.5549,0.6633,0.738,0.8684,0.7978,0.854,0.8537,0.8534
poly,25.0,0.1,,3,0.7263,0.7736,0.8128,0.7739,0.7263,0.7297,0.0356,0.1887,0.2264,0.2737,-0.0473,0.3889,0.0618,0.1051,0.67,0.553,0.6055,0.9178,0.9529,0.9342,0.9864,0.8948,0.9384,0.9191,0.9462,0.9324,0.766,0.6177,0.6818,0.6573,0.9233,0.7678,0.8854,0.8609,0.8724
poly,50.0,0.01,balanced,2,0.7185,0.7307,0.7091,0.6655,0.7185,0.66,0.0455,0.2133,0.2693,0.2815,-0.0122,0.2907,0.4504,0.3527,0.6504,0.1878,0.2897,0.8195,0.9933,0.8969,0.9839,0.7602,0.8577,0.8347,0.8706,0.8522,0.4456,0.7961,0.5711,0.5725,0.8702,0.6905,0.7269,0.819,0.7692
poly,0.5,0.1,balanced,2,0.7185,0.7307,0.7091,0.6656,0.7185,0.6601,0.0455,0.2133,0.2693,0.2815,-0.0122,0.2907,0.4504,0.3527,0.6504,0.1878,0.2897,0.8195,0.9933,0.8969,0.9839,0.7604,0.8578,0.8349,0.8706,0.8523,0.4466,0.7961,0.5719,0.5724,0.8702,0.6904,0.7269,0.819,0.7692
poly,0.5,scale,balanced,2,0.7185,0.7307,0.7091,0.6656,0.7185,0.6601,0.0455,0.2133,0.2693,0.2815,-0.0122,0.2907,0.4504,0.3527,0.6504,0.1878,0.2897,0.8195,0.9933,0.8969,0.9839,0.7604,0.8578,0.8349,0.8706,0.8523,0.4466,0.7961,0.5719,0.5724,0.8702,0.6904,0.7269,0.819,0.7692
poly,0.5,auto,balanced,2,0.7185,0.7307,0.7091,0.6656,0.7185,0.6601,0.0455,0.2133,0.2693,0.2815,-0.0122,0.2907,0.4504,0.3527,0.6504,0.1878,0.2897,0.8195,0.9933,0.8969,0.9839,0.7604,0.8578,0.8349,0.8706,0.8523,0.4466,0.7961,0.5719,0.5724,0.8702,0.6904,0.7269,0.819,0.7692
poly,5.0,0.05,balanced,3,0.715,0.7391,0.7237,0.73,0.715,0.6831,0.0406,0.2015,0.2609,0.285,-0.024,0.2735,0.407,0.3245,0.8545,0.1914,0.3117,0.8985,0.9598,0.9279,0.992,0.7908,0.88,0.9289,0.8325,0.8779,0.5409,0.7627,0.6328,0.5418,0.9309,0.6845,0.8096,0.8454,0.8252
rbf,0.5,auto,,2,0.7129,0.7186,0.8244,0.7305,0.7129,0.7123,0.03,0.1731,0.2814,0.2871,-0.0058,0.0,0.0,0.0,0.6445,0.652,0.6481,0.9173,0.9664,0.9408,0.9749,0.9317,0.9528,0.8746,0.9716,0.9205,0.879,0.4706,0.6106,0.7236,0.8676,0.789,0.8303,0.8429,0.8363
rbf,0.5,scale,,3,0.7129,0.7186,0.8244,0.7305,0.7129,0.7123,0.03,0.1731,0.2814,0.2871,-0.0058,0.0,0.0,0.0,0.6445,0.652,0.6481,0.9173,0.9664,0.9408,0.9749,0.9317,0.9528,0.8746,0.9716,0.9205,0.879,0.4706,0.6106,0.7236,0.8676,0.789,0.8303,0.8429,0.8363
rbf,0.5,0.1,,2,0.7129,0.7186,0.8244,0.7305,0.7129,0.7123,0.03,0.1731,0.2814,0.2871,-0.0058,0.0,0.0,0.0,0.6445,0.652,0.6481,0.9173,0.9664,0.9408,0.9749,0.9317,0.9528,0.8746,0.9716,0.9205,0.879,0.4706,0.6106,0.7236,0.8676,0.789,0.8303,0.8429,0.8363
poly,100.0,0.05,,3,0.7113,0.7505,0.8025,0.7666,0.7113,0.7151,0.0355,0.1884,0.2495,0.2887,-0.0392,0.361,0.0375,0.0678,0.67,0.5208,0.5855,0.9178,0.9529,0.9342,0.987,0.882,0.9315,0.9122,0.9424,0.927,0.7587,0.5745,0.6514,0.6336,0.9317,0.7542,0.8928,0.8489,0.8695
poly,10.0,0.1,,3,0.7077,0.741,0.7996,0.77,0.7077,0.7118,0.0357,0.189,0.259,0.2923,-0.0333,0.3809,0.0294,0.0541,0.6691,0.5142,0.5808,0.9178,0.9529,0.9342,0.9879,0.8772,0.9292,0.9112,0.9398,0.9252,0.7774,0.5745,0.6585,0.6265,0.9353,0.7503,0.8895,0.8382,0.862
