n_components,solver,shrinkage,tol,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
9,eigen,auto,0.01,0.693,0.6934,0.7865,0.7123,0.693,0.6809,0.0376,0.1939,0.3066,0.307,-0.0004,0.4058,0.084,0.1388,0.6036,0.5795,0.591,0.8513,0.9931,0.9163,0.9498,0.9048,0.9268,0.8899,0.9489,0.9185,0.702,0.4118,0.5172,0.6824,0.7983,0.7357,0.6135,0.8238,0.7029
9,lsqr,auto,0.0001,0.693,0.6934,0.7865,0.7123,0.693,0.6809,0.0376,0.1939,0.3066,0.307,-0.0004,0.4058,0.084,0.1388,0.6036,0.5795,0.591,0.8513,0.9931,0.9163,0.9498,0.9048,0.9268,0.8899,0.9489,0.9185,0.702,0.4118,0.5172,0.6824,0.7983,0.7357,0.6135,0.8238,0.7029
9,eigen,auto,0.001,0.693,0.6934,0.7865,0.7123,0.693,0.6809,0.0376,0.1939,0.3066,0.307,-0.0004,0.4058,0.084,0.1388,0.6036,0.5795,0.591,0.8513,0.9931,0.9163,0.9498,0.9048,0.9268,0.8899,0.9489,0.9185,0.702,0.4118,0.5172,0.6824,0.7983,0.7357,0.6135,0.8238,0.7029
9,lsqr,0.1,0.01,0.6781,0.6784,0.7833,0.7215,0.6781,0.6657,0.0381,0.1952,0.3216,0.3219,-0.0004,0.4269,0.0486,0.0867,0.6275,0.5394,0.5799,0.8715,0.9931,0.9279,0.9461,0.9059,0.9255,0.8818,0.9489,0.9141,0.7543,0.3313,0.4587,0.6575,0.823,0.7309,0.6061,0.8345,0.7021
9,eigen,0.1,0.01,0.6781,0.6784,0.7833,0.7215,0.6781,0.6657,0.0381,0.1952,0.3216,0.3219,-0.0004,0.4269,0.0486,0.0867,0.6275,0.5394,0.5799,0.8715,0.9931,0.9279,0.9461,0.9059,0.9255,0.8818,0.9489,0.9141,0.7543,0.3313,0.4587,0.6575,0.823,0.7309,0.6061,0.8345,0.7021
9,eigen,0.1,0.0001,0.6781,0.6784,0.7833,0.7215,0.6781,0.6657,0.0381,0.1952,0.3216,0.3219,-0.0004,0.4269,0.0486,0.0867,0.6275,0.5394,0.5799,0.8715,0.9931,0.9279,0.9461,0.9059,0.9255,0.8818,0.9489,0.9141,0.7543,0.3313,0.4587,0.6575,0.823,0.7309,0.6061,0.8345,0.7021
9,lsqr,0.1,0.001,0.6781,0.6784,0.7833,0.7215,0.6781,0.6657,0.0381,0.1952,0.3216,0.3219,-0.0004,0.4269,0.0486,0.0867,0.6275,0.5394,0.5799,0.8715,0.9931,0.9279,0.9461,0.9059,0.9255,0.8818,0.9489,0.9141,0.7543,0.3313,0.4587,0.6575,0.823,0.7309,0.6061,0.8345,0.7021
8,eigen,0.1,0.01,0.6741,0.6759,0.7825,0.7192,0.6741,0.6604,0.0383,0.1958,0.3241,0.3259,-0.0018,0.406,0.0354,0.0649,0.6297,0.5331,0.577,0.8715,0.9931,0.9279,0.9465,0.9066,0.9261,0.8775,0.9475,0.9111,0.7598,0.3117,0.4408,0.6549,0.8284,0.7314,0.6079,0.8369,0.704
8,eigen,0.1,0.0001,0.6741,0.6759,0.7825,0.7192,0.6741,0.6604,0.0383,0.1958,0.3241,0.3259,-0.0018,0.406,0.0354,0.0649,0.6297,0.5331,0.577,0.8715,0.9931,0.9279,0.9465,0.9066,0.9261,0.8775,0.9475,0.9111,0.7598,0.3117,0.4408,0.6549,0.8284,0.7314,0.6079,0.8369,0.704
8,lsqr,0.1,0.01,0.6741,0.6759,0.7825,0.7192,0.6741,0.6604,0.0383,0.1958,0.3241,0.3259,-0.0018,0.406,0.0354,0.0649,0.6297,0.5331,0.577,0.8715,0.9931,0.9279,0.9465,0.9066,0.9261,0.8775,0.9475,0.9111,0.7598,0.3117,0.4408,0.6549,0.8284,0.7314,0.6079,0.8369,0.704
8,lsqr,0.1,0.0001,0.6741,0.6759,0.7825,0.7192,0.6741,0.6604,0.0383,0.1958,0.3241,0.3259,-0.0018,0.406,0.0354,0.0649,0.6297,0.5331,0.577,0.8715,0.9931,0.9279,0.9465,0.9066,0.9261,0.8775,0.9475,0.9111,0.7598,0.3117,0.4408,0.6549,0.8284,0.7314,0.6079,0.8369,0.704
8,eigen,0.1,0.001,0.6741,0.6759,0.7825,0.7192,0.6741,0.6604,0.0383,0.1958,0.3241,0.3259,-0.0018,0.406,0.0354,0.0649,0.6297,0.5331,0.577,0.8715,0.9931,0.9279,0.9465,0.9066,0.9261,0.8775,0.9475,0.9111,0.7598,0.3117,0.4408,0.6549,0.8284,0.7314,0.6079,0.8369,0.704
7,lsqr,,0.0001,0.6568,0.6573,0.7776,0.7092,0.6568,0.6377,0.0393,0.1981,0.3427,0.3432,-0.0005,0.4823,0.0304,0.057,0.5864,0.6066,0.5962,0.8718,0.9931,0.928,0.9467,0.9077,0.9268,0.8846,0.9426,0.9127,0.6294,0.1667,0.2626,0.6632,0.7776,0.7158,0.6093,0.8298,0.7024
