n_components,kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
9,linear,100.0,0.01,,2,0.7178,0.7333,0.816,0.7081,0.7178,0.7103,0.0329,0.1813,0.2667,0.2822,-0.0155,0.0,0.0,0.0,0.5984,0.6782,0.6354,0.9118,0.9729,0.939,0.9605,0.9273,0.9435,0.9152,0.9631,0.9385,0.7141,0.5921,0.6443,0.7263,0.8234,0.7716,0.8385,0.7854,0.8104
8,linear,50.0,0.05,,2,0.7154,0.7308,0.814,0.7033,0.7154,0.707,0.0332,0.1822,0.2692,0.2846,-0.0155,0.0,0.0,0.0,0.5979,0.6707,0.6317,0.9118,0.9729,0.939,0.9608,0.9276,0.9439,0.9061,0.96,0.9322,0.6934,0.5823,0.6305,0.7261,0.8228,0.7713,0.8303,0.7865,0.8072
5,rbf,50.0,auto,balanced,2,0.7153,0.8411,0.7378,0.6733,0.7153,0.6784,0.039,0.1974,0.1589,0.2847,-0.1258,0.2077,0.4647,0.2853,0.5956,0.373,0.457,0.9361,0.9526,0.9435,0.9585,0.9074,0.9321,0.9158,0.947,0.9311,0.3473,0.6275,0.4452,0.6708,0.6278,0.6479,0.7547,0.8226,0.7853
9,poly,50.0,auto,,3,0.7139,0.7836,0.8044,0.7479,0.7139,0.7177,0.0426,0.2063,0.2164,0.2861,-0.0697,0.2915,0.0597,0.0962,0.6263,0.5569,0.5894,0.9298,0.9388,0.9329,0.9747,0.9031,0.9375,0.9353,0.9518,0.9434,0.7084,0.6431,0.6735,0.6568,0.8809,0.7524,0.8603,0.777,0.816
9,linear,1.0,scale,,3,0.7094,0.7188,0.815,0.703,0.7094,0.703,0.0326,0.1806,0.2812,0.2906,-0.0094,0.0,0.0,0.0,0.6005,0.6722,0.6338,0.9147,0.966,0.9378,0.9614,0.9286,0.9447,0.9086,0.966,0.9363,0.6939,0.5196,0.5917,0.726,0.8244,0.7719,0.8189,0.7986,0.808
8,poly,100.0,0.05,,2,0.7086,0.7386,0.796,0.7141,0.7086,0.7056,0.0398,0.1993,0.2614,0.2914,-0.03,0.05,0.004,0.0075,0.6223,0.556,0.5871,0.9387,0.9522,0.9434,0.9458,0.8969,0.9207,0.9088,0.9419,0.925,0.7315,0.6843,0.706,0.6563,0.8706,0.7483,0.8595,0.7626,0.8071
7,poly,0.5,auto,balanced,2,0.7082,0.7277,0.6989,0.6592,0.7082,0.6443,0.0465,0.2156,0.2723,0.2918,-0.0195,0.2428,0.5487,0.3352,0.6874,0.1556,0.2535,0.862,1.0,0.9254,0.9541,0.7897,0.864,0.88,0.8754,0.8776,0.3738,0.6941,0.4837,0.5823,0.7977,0.6726,0.6909,0.8046,0.7426
6,poly,50.0,0.05,balanced,2,0.7051,0.7294,0.6596,0.6744,0.7051,0.6469,0.0486,0.2204,0.2706,0.2949,-0.0242,0.1423,0.6244,0.23,0.678,0.1896,0.2963,0.9312,0.9729,0.9507,0.9506,0.8009,0.8692,0.8749,0.8956,0.8851,0.5053,0.7804,0.6131,0.6117,0.546,0.5722,0.7009,0.831,0.7591
8,linear,0.5,0.001,,2,0.7045,0.7114,0.812,0.705,0.7045,0.6999,0.0331,0.1819,0.2886,0.2955,-0.0069,0.0,0.0,0.0,0.596,0.6686,0.6297,0.9327,0.98,0.9547,0.9626,0.9267,0.9442,0.9036,0.9593,0.9305,0.7184,0.4765,0.5689,0.721,0.8262,0.7698,0.8054,0.7986,0.8012
9,poly,10.0,scale,,2,0.7043,0.7297,0.7934,0.7446,0.7043,0.7028,0.038,0.195,0.2703,0.2957,-0.0254,0.2907,0.0051,0.0094,0.6339,0.5334,0.5792,0.9304,0.9655,0.9466,0.9446,0.8898,0.9163,0.9157,0.9431,0.9291,0.7585,0.651,0.6999,0.643,0.8861,0.7451,0.8396,0.7602,0.7965
5,rbf,0.1,scale,balanced,2,0.7035,0.7153,0.6906,0.6154,0.7035,0.616,0.0426,0.2062,0.2847,0.2965,-0.0118,0.1995,0.4787,0.2808,0.6501,0.2209,0.3279,0.7429,1.0,0.8515,0.9442,0.8829,0.9124,0.8965,0.9429,0.9191,0.2009,0.7255,0.3147,0.6167,0.545,0.5783,0.6728,0.8322,0.7429
4,rbf,100.0,0.01,balanced,2,0.6973,0.7167,0.6762,0.6254,0.6973,0.6151,0.0422,0.2056,0.2833,0.3027,-0.0194,0.1771,0.5041,0.2614,0.648,0.2459,0.3524,0.7953,0.9795,0.8768,0.9446,0.8838,0.9132,0.9056,0.9422,0.9235,0.1782,0.7314,0.2862,0.6182,0.4604,0.5273,0.7359,0.831,0.7798
8,poly,25.0,0.05,,2,0.6925,0.7169,0.783,0.7048,0.6925,0.6915,0.0388,0.197,0.2831,0.3075,-0.0244,0.0286,0.003,0.0055,0.6289,0.4934,0.5528,0.9206,0.9655,0.941,0.9399,0.8802,0.9091,0.9055,0.9313,0.9181,0.7507,0.6157,0.6752,0.6261,0.8954,0.7368,0.8384,0.7554,0.7934
7,linear,1.0,0.1,,2,0.6907,0.7007,0.8031,0.6989,0.6907,0.6881,0.0342,0.185,0.2993,0.3093,-0.01,0.0,0.0,0.0,0.5819,0.662,0.619,0.9206,0.9591,0.9372,0.9603,0.927,0.9432,0.9028,0.9607,0.9309,0.7321,0.4314,0.5386,0.7011,0.7975,0.7461,0.7923,0.7878,0.7894
4,rbf,25.0,scale,balanced,3,0.6856,0.7475,0.6793,0.6271,0.6856,0.6187,0.0426,0.2064,0.2525,0.3144,-0.0619,0.171,0.4981,0.2533,0.591,0.2727,0.372,0.8394,0.9184,0.8752,0.9469,0.8867,0.9157,0.9045,0.9371,0.9204,0.1966,0.6922,0.3057,0.6249,0.4667,0.5319,0.7428,0.813,0.7756
4,linear,5.0,0.1,balanced,3,0.6845,0.6941,0.6801,0.6149,0.6845,0.6098,0.0441,0.21,0.3059,0.3155,-0.0097,0.1788,0.4413,0.254,0.6651,0.2549,0.3678,0.766,0.9591,0.8459,0.9417,0.8832,0.9115,0.9039,0.9335,0.9184,0.1839,0.6824,0.2896,0.5835,0.499,0.5374,0.696,0.8226,0.7534
4,linear,5.0,0.1,balanced,2,0.6845,0.6941,0.6801,0.6149,0.6845,0.6098,0.0441,0.21,0.3059,0.3155,-0.0097,0.1788,0.4413,0.254,0.6651,0.2549,0.3678,0.766,0.9591,0.8459,0.9417,0.8832,0.9115,0.9039,0.9335,0.9184,0.1839,0.6824,0.2896,0.5835,0.499,0.5374,0.696,0.8226,0.7534
4,rbf,10.0,auto,balanced,2,0.6825,0.7588,0.6822,0.625,0.6825,0.6203,0.043,0.2073,0.2412,0.3175,-0.0763,0.1712,0.4789,0.2503,0.5772,0.2869,0.382,0.852,0.932,0.8878,0.9463,0.889,0.9167,0.9038,0.9392,0.9211,0.196,0.6451,0.2999,0.6243,0.4727,0.5352,0.7294,0.8166,0.7698
4,linear,100.0,0.01,balanced,2,0.6815,0.6953,0.6806,0.6189,0.6815,0.6113,0.0442,0.2102,0.3047,0.3185,-0.0137,0.1796,0.4433,0.2551,0.6653,0.2559,0.3688,0.8075,0.9389,0.8625,0.9415,0.8845,0.912,0.9025,0.9344,0.9182,0.1835,0.6726,0.2882,0.5843,0.499,0.5378,0.6865,0.8238,0.748
5,poly,10.0,auto,balanced,2,0.6788,0.7018,0.6326,0.6431,0.6788,0.6105,0.0493,0.2221,0.2982,0.3212,-0.023,0.1336,0.6661,0.2223,0.6346,0.1728,0.2713,0.9259,0.9731,0.9479,0.942,0.805,0.868,0.8762,0.8995,0.8876,0.3032,0.6588,0.4146,0.6187,0.4385,0.5126,0.7109,0.8166,0.7594
3,rbf,1.0,0.1,balanced,3,0.6757,0.6932,0.6636,0.598,0.6757,0.5907,0.044,0.2097,0.3068,0.3243,-0.0175,0.1594,0.4515,0.235,0.6017,0.2215,0.3214,0.6846,0.9862,0.8068,0.9407,0.8735,0.9058,0.8992,0.9412,0.9197,0.1649,0.698,0.2665,0.6111,0.46,0.5244,0.7223,0.7734,0.7461
9,linear,0.1,scale,,2,0.6743,0.6696,0.8074,0.7139,0.6743,0.6717,0.0331,0.182,0.3304,0.3257,0.0047,0.0,0.0,0.0,0.5909,0.6638,0.6247,0.9583,0.9731,0.9639,0.9656,0.9223,0.9434,0.9,0.9648,0.9313,0.8213,0.2314,0.3599,0.7086,0.8349,0.7664,0.7659,0.8045,0.784
5,poly,1.0,auto,balanced,3,0.6734,0.7075,0.6321,0.6617,0.6734,0.6119,0.0458,0.2141,0.2925,0.3266,-0.0341,0.1324,0.7632,0.2253,0.6557,0.1833,0.2851,0.9416,0.9524,0.9459,0.9783,0.8212,0.8928,0.9414,0.9012,0.9208,0.2816,0.5667,0.3744,0.616,0.4006,0.4804,0.747,0.7986,0.7708
3,rbf,25.0,0.05,balanced,2,0.6729,0.7016,0.6624,0.6126,0.6729,0.5965,0.0437,0.209,0.2984,0.3271,-0.0287,0.1562,0.4677,0.2336,0.6053,0.2161,0.3151,0.7813,0.925,0.8462,0.942,0.8758,0.9075,0.8989,0.9383,0.9181,0.1721,0.7274,0.2781,0.6145,0.4522,0.5199,0.7305,0.7806,0.7536
6,linear,10.0,scale,,3,0.6711,0.6797,0.77,0.676,0.6711,0.6669,0.0391,0.1979,0.3203,0.3289,-0.0086,0.0,0.0,0.0,0.5559,0.4401,0.4908,0.9059,1.0,0.9498,0.9453,0.9201,0.9325,0.8969,0.9593,0.927,0.6898,0.4588,0.5503,0.5995,0.8099,0.6889,0.8144,0.7806,0.7963
6,linear,10.0,scale,,2,0.6711,0.6797,0.77,0.676,0.6711,0.6669,0.0391,0.1979,0.3203,0.3289,-0.0086,0.0,0.0,0.0,0.5559,0.4401,0.4908,0.9059,1.0,0.9498,0.9453,0.9201,0.9325,0.8969,0.9593,0.927,0.6898,0.4588,0.5503,0.5995,0.8099,0.6889,0.8144,0.7806,0.7963
3,rbf,0.1,auto,balanced,3,0.6704,0.6905,0.669,0.5962,0.6704,0.5956,0.045,0.212,0.3095,0.3296,-0.0201,0.1613,0.3968,0.2287,0.5678,0.254,0.3466,0.705,0.9662,0.8132,0.9434,0.8669,0.9033,0.8971,0.9333,0.9147,0.1699,0.6824,0.2719,0.6038,0.4902,0.5408,0.7209,0.7734,0.7453
3,rbf,0.1,auto,balanced,2,0.6704,0.6905,0.669,0.5962,0.6704,0.5956,0.045,0.212,0.3095,0.3296,-0.0201,0.1613,0.3968,0.2287,0.5678,0.254,0.3466,0.705,0.9662,0.8132,0.9434,0.8669,0.9033,0.8971,0.9333,0.9147,0.1699,0.6824,0.2719,0.6038,0.4902,0.5408,0.7209,0.7734,0.7453
5,poly,0.5,auto,balanced,3,0.6694,0.6948,0.6218,0.6625,0.6694,0.605,0.046,0.2145,0.3052,0.3306,-0.0254,0.1283,0.7764,0.2196,0.6803,0.1692,0.2698,0.9422,0.9591,0.9493,0.9794,0.8093,0.8861,0.9421,0.893,0.9168,0.2717,0.5667,0.3662,0.6133,0.3853,0.4649,0.7427,0.7962,0.7674
5,rbf,50.0,scale,,3,0.6693,0.7305,0.7798,0.6891,0.6693,0.6666,0.0383,0.1956,0.2695,0.3307,-0.0612,0.1633,0.0091,0.0168,0.5883,0.5163,0.549,0.9202,0.9522,0.9341,0.947,0.923,0.9348,0.9052,0.959,0.9313,0.5229,0.3902,0.4452,0.6236,0.8001,0.7006,0.8423,0.8046,0.8211
6,poly,5.0,0.05,balanced,2,0.6666,0.6807,0.614,0.6546,0.6666,0.6032,0.0514,0.2267,0.3193,0.3334,-0.0141,0.1203,0.673,0.2024,0.7168,0.1276,0.2166,0.8637,1.0,0.9259,0.9408,0.7779,0.8515,0.87,0.8759,0.8728,0.4458,0.6314,0.5189,0.5829,0.4474,0.4931,0.6968,0.7998,0.7442
5,rbf,0.1,0.01,balanced,3,0.6666,0.6648,0.6638,0.6222,0.6666,0.5702,0.0454,0.2129,0.3352,0.3334,0.0018,0.183,0.395,0.2377,0.9035,0.0846,0.1541,0.7461,1.0,0.8527,0.905,0.899,0.902,0.8662,0.932,0.8978,0.1669,0.6667,0.2668,0.5876,0.532,0.5435,0.6194,0.8238,0.7065
3,rbf,5.0,auto,balanced,3,0.666,0.7251,0.6663,0.6074,0.666,0.599,0.0447,0.2113,0.2749,0.334,-0.0591,0.1528,0.4375,0.2248,0.563,0.2559,0.3479,0.7831,0.9117,0.8417,0.9429,0.8717,0.9057,0.8999,0.9383,0.9186,0.1781,0.6765,0.2818,0.6145,0.4604,0.524,0.7253,0.7758,0.748
7,rbf,100.0,0.001,,3,0.6638,0.6645,0.803,0.7139,0.6638,0.6569,0.0335,0.183,0.3355,0.3362,-0.0008,0.0,0.0,0.0,0.5789,0.6743,0.6225,0.9505,0.9867,0.9673,0.9638,0.9256,0.9443,0.8995,0.9598,0.9286,0.8451,0.153,0.2559,0.7051,0.8182,0.7574,0.7682,0.7926,0.7794
3,rbf,100.0,scale,balanced,2,0.6612,0.7282,0.6622,0.612,0.6612,0.5975,0.0448,0.2117,0.2718,0.3388,-0.0669,0.1502,0.4476,0.2234,0.5627,0.2426,0.3339,0.8182,0.898,0.8503,0.9426,0.8674,0.9033,0.8937,0.9383,0.9154,0.1745,0.6608,0.2758,0.6131,0.4568,0.521,0.7409,0.7782,0.7566
9,poly,25.0,0.05,,3,0.6551,0.6778,0.7624,0.73,0.6551,0.6662,0.0398,0.1993,0.3222,0.3449,-0.0227,0.1985,0.0132,0.0238,0.6201,0.4082,0.492,0.9286,0.9522,0.9395,0.9802,0.8492,0.91,0.9357,0.9349,0.9352,0.7732,0.4314,0.5519,0.5562,0.9225,0.6939,0.8473,0.729,0.7831
3,linear,100.0,auto,balanced,3,0.6547,0.6768,0.6681,0.5957,0.6547,0.5888,0.0456,0.2135,0.3232,0.3453,-0.0221,0.1707,0.411,0.2407,0.6009,0.2345,0.3357,0.7595,0.898,0.8153,0.9344,0.8808,0.9068,0.8954,0.9308,0.9127,0.161,0.6196,0.2554,0.5785,0.4884,0.5293,0.665,0.7746,0.7149
3,rbf,25.0,auto,balanced,3,0.6539,0.7415,0.6651,0.6078,0.6539,0.5974,0.0454,0.2131,0.2585,0.3461,-0.0876,0.1527,0.4314,0.2241,0.5443,0.2634,0.3511,0.8186,0.8842,0.8439,0.9422,0.8678,0.9032,0.8944,0.9311,0.9123,0.1719,0.6137,0.2685,0.6128,0.4711,0.5305,0.7259,0.7686,0.7454
7,rbf,0.5,auto,,2,0.6538,0.6582,0.8066,0.7418,0.6538,0.648,0.033,0.1816,0.3418,0.3462,-0.0044,0.0,0.0,0.0,0.5916,0.6586,0.6229,0.9619,0.9462,0.9526,0.9667,0.9279,0.9468,0.9012,0.9737,0.9361,1.0,0.0863,0.1572,0.6941,0.8361,0.7584,0.8189,0.8022,0.81
5,rbf,25.0,0.05,,2,0.6527,0.6726,0.7799,0.6973,0.6527,0.6513,0.0379,0.1947,0.3274,0.3473,-0.0198,0.16,0.0041,0.0078,0.5964,0.5142,0.5516,0.9275,0.9658,0.9445,0.9418,0.9201,0.9308,0.9052,0.9679,0.9355,0.5884,0.2216,0.3123,0.6148,0.8152,0.7007,0.8444,0.813,0.8275
7,linear,0.1,0.1,,2,0.644,0.6401,0.7929,0.707,0.644,0.6289,0.0348,0.1865,0.3599,0.356,0.0039,0.0,0.0,0.0,0.5658,0.649,0.6041,0.965,0.9798,0.9709,0.9642,0.9212,0.9422,0.8934,0.9593,0.9251,0.8267,0.0392,0.0736,0.6831,0.8094,0.7407,0.7577,0.7938,0.7747
7,linear,0.1,auto,,3,0.644,0.6401,0.7929,0.707,0.644,0.6289,0.0348,0.1865,0.3599,0.356,0.0039,0.0,0.0,0.0,0.5658,0.649,0.6041,0.965,0.9798,0.9709,0.9642,0.9212,0.9422,0.8934,0.9593,0.9251,0.8267,0.0392,0.0736,0.6831,0.8094,0.7407,0.7577,0.7938,0.7747
7,poly,0.5,0.05,balanced,2,0.6402,0.6551,0.6335,0.6444,0.6402,0.5769,0.0529,0.2299,0.3449,0.3598,-0.0149,0.174,0.4668,0.2415,0.8767,0.0786,0.144,0.7782,1.0,0.8741,0.9344,0.7435,0.8281,0.9017,0.798,0.8466,0.2869,0.5412,0.3733,0.5116,0.7317,0.5836,0.6917,0.7614,0.7244
3,poly,50.0,scale,balanced,3,0.6332,0.6575,0.5941,0.6195,0.6332,0.5589,0.0492,0.2217,0.3425,0.3668,-0.0243,0.1203,0.7672,0.2079,0.6017,0.1379,0.2231,0.8092,0.9044,0.8489,0.9628,0.8407,0.8974,0.9268,0.8802,0.9028,0.179,0.5157,0.2651,0.595,0.2726,0.3733,0.7609,0.747,0.7529
8,poly,1.0,scale,,2,0.6291,0.6425,0.7389,0.6992,0.6291,0.6377,0.0421,0.205,0.3575,0.3709,-0.0134,0.025,0.002,0.0037,0.6344,0.3065,0.4127,0.9604,0.9258,0.9413,0.9127,0.8469,0.8785,0.8948,0.9053,0.8999,0.84,0.3725,0.5138,0.5464,0.9219,0.686,0.7798,0.7518,0.7652
5,linear,10.0,scale,,3,0.627,0.6266,0.7573,0.6253,0.627,0.6164,0.0413,0.2031,0.3734,0.373,0.0005,0.0,0.0,0.0,0.5408,0.4347,0.4816,0.9011,1.0,0.9469,0.9366,0.9162,0.9262,0.8963,0.9578,0.926,0.3433,0.1333,0.1902,0.5795,0.7995,0.6718,0.8046,0.7746,0.7882
5,linear,50.0,0.1,,2,0.6267,0.629,0.7582,0.6348,0.6267,0.6194,0.0413,0.2032,0.371,0.3733,-0.0023,0.0,0.0,0.0,0.542,0.435,0.4823,0.9164,0.9731,0.942,0.9367,0.9171,0.9267,0.8972,0.9593,0.9272,0.3936,0.1529,0.2118,0.5802,0.7991,0.6721,0.8123,0.777,0.7929
5,linear,5.0,scale,,3,0.6258,0.6266,0.7569,0.6263,0.6258,0.6155,0.0412,0.2031,0.3734,0.3742,-0.0008,0.0,0.0,0.0,0.5403,0.4344,0.4813,0.9059,1.0,0.9498,0.9365,0.9156,0.9259,0.8968,0.9568,0.9259,0.3475,0.1255,0.1825,0.5785,0.8003,0.6714,0.8046,0.7734,0.7876
8,poly,10.0,0.05,,3,0.6215,0.633,0.7382,0.7169,0.6215,0.6315,0.0404,0.2009,0.367,0.3785,-0.0115,0.1572,0.0101,0.0186,0.621,0.3269,0.428,0.9248,0.9586,0.9399,0.9825,0.8289,0.8991,0.9302,0.9084,0.9191,0.7724,0.2843,0.4131,0.5169,0.939,0.6668,0.8299,0.7158,0.7678
9,rbf,10.0,0.001,,3,0.6196,0.6249,0.7919,0.6417,0.6196,0.6092,0.0338,0.1838,0.3751,0.3804,-0.0053,0.0,0.0,0.0,0.5971,0.5798,0.588,1.0,0.8308,0.9057,0.9635,0.913,0.9375,0.8835,0.966,0.9229,0.3,0.0039,0.0077,0.6662,0.8636,0.7521,0.7237,0.7998,0.7595
5,rbf,1.0,0.1,,3,0.6187,0.6245,0.7703,0.6338,0.6187,0.606,0.0391,0.1978,0.3755,0.3813,-0.0058,0.2,0.001,0.002,0.6002,0.4651,0.5233,0.9554,0.9598,0.9569,0.936,0.9156,0.9256,0.8971,0.9725,0.9333,0.0667,0.002,0.0038,0.5904,0.8341,0.6912,0.8245,0.7998,0.8115
7,poly,1.0,auto,,2,0.6166,0.6289,0.7387,0.6844,0.6166,0.6194,0.043,0.2074,0.3711,0.3834,-0.0123,0.0333,0.003,0.0056,0.6045,0.3561,0.4468,0.9211,0.966,0.9413,0.9214,0.8563,0.8876,0.8818,0.8971,0.8892,0.7624,0.2118,0.331,0.5516,0.8989,0.6835,0.7992,0.7434,0.7698
6,rbf,1.0,0.05,,2,0.6158,0.6195,0.7739,0.6725,0.6158,0.6044,0.0365,0.1911,0.3805,0.3842,-0.0037,0.0,0.0,0.0,0.6015,0.4768,0.5311,0.9591,0.9129,0.9341,0.9356,0.9128,0.924,0.8944,0.9699,0.9306,0.6,0.0098,0.0192,0.6081,0.8493,0.7086,0.7816,0.795,0.7875
8,poly,0.5,auto,,3,0.6142,0.6195,0.7311,0.716,0.6142,0.6228,0.0402,0.2005,0.3805,0.3858,-0.0053,0.1357,0.0081,0.0151,0.6266,0.2944,0.4003,0.9323,0.9793,0.9542,0.9831,0.8243,0.8967,0.9321,0.9021,0.9168,0.7865,0.251,0.379,0.5043,0.9456,0.6578,0.8272,0.7087,0.7625
6,linear,0.1,0.05,,2,0.6132,0.6111,0.7545,0.7023,0.6132,0.605,0.0403,0.2008,0.3889,0.3868,0.0022,0.0,0.0,0.0,0.5505,0.4115,0.4706,0.9524,0.9464,0.949,0.939,0.9116,0.9251,0.888,0.9641,0.9244,0.9682,0.0745,0.1341,0.5701,0.8088,0.6687,0.7496,0.789,0.768
5,linear,1.0,0.001,,3,0.6119,0.6185,0.7554,0.6351,0.6119,0.6037,0.0415,0.2036,0.3815,0.3881,-0.0066,0.0,0.0,0.0,0.5449,0.4302,0.4804,0.9413,0.9462,0.9431,0.9369,0.9147,0.9256,0.8951,0.9585,0.9257,0.4061,0.0608,0.1041,0.5729,0.8033,0.6687,0.7836,0.7818,0.7819
5,linear,1.0,auto,,2,0.6119,0.6185,0.7554,0.6351,0.6119,0.6037,0.0415,0.2036,0.3815,0.3881,-0.0066,0.0,0.0,0.0,0.5449,0.4302,0.4804,0.9413,0.9462,0.9431,0.9369,0.9147,0.9256,0.8951,0.9585,0.9257,0.4061,0.0608,0.1041,0.5729,0.8033,0.6687,0.7836,0.7818,0.7819
3,poly,1.0,0.1,balanced,3,0.6098,0.6241,0.6126,0.624,0.6098,0.5506,0.0491,0.2215,0.3759,0.3902,-0.0143,0.1238,0.4512,0.1702,0.7621,0.0999,0.1765,0.7261,0.9389,0.8177,0.9846,0.7684,0.8631,0.9362,0.8236,0.8763,0.1855,0.4882,0.2675,0.5311,0.5901,0.5041,0.7429,0.7183,0.7293
5,rbf,100.0,0.001,,3,0.6094,0.6123,0.7556,0.5845,0.6094,0.593,0.0407,0.2017,0.3877,0.3906,-0.003,0.0,0.0,0.0,0.5513,0.4287,0.4821,0.955,0.9731,0.9634,0.9367,0.9112,0.9237,0.8887,0.9612,0.9235,0.0,0.0,0.0,0.5754,0.812,0.6734,0.7687,0.789,0.7781
4,rbf,100.0,scale,,3,0.6092,0.6553,0.7501,0.6459,0.6092,0.6027,0.0429,0.2072,0.3447,0.3908,-0.0462,0.1778,0.0081,0.0152,0.5928,0.366,0.4506,0.8772,0.8975,0.8826,0.9271,0.9085,0.9176,0.8822,0.96,0.9194,0.3359,0.1216,0.17,0.5613,0.8228,0.6671,0.8127,0.789,0.7994
4,rbf,25.0,0.1,,3,0.6077,0.6343,0.7518,0.6381,0.6077,0.5963,0.0425,0.2062,0.3657,0.3923,-0.0265,0.1333,0.0041,0.0078,0.6007,0.3654,0.4529,0.8911,0.932,0.9098,0.922,0.9098,0.9158,0.883,0.9653,0.9223,0.2966,0.0569,0.086,0.56,0.8287,0.6682,0.8185,0.7998,0.8081
5,rbf,0.5,scale,,3,0.6071,0.6138,0.7644,0.5963,0.6071,0.5964,0.0397,0.1994,0.3862,0.3929,-0.0067,0.0,0.0,0.0,0.6,0.4329,0.5018,0.9658,0.906,0.934,0.9339,0.9127,0.9231,0.8898,0.973,0.9296,0.0,0.0,0.0,0.5807,0.8359,0.6852,0.7998,0.7962,0.7973
8,rbf,0.1,auto,,2,0.6064,0.6187,0.7885,0.6063,0.6064,0.6013,0.0339,0.184,0.3813,0.3936,-0.0123,0.0,0.0,0.0,0.5968,0.5587,0.5765,1.0,0.7559,0.8579,0.964,0.9113,0.9369,0.8763,0.9682,0.92,0.0,0.0,0.0,0.6538,0.8678,0.7457,0.7596,0.789,0.7734
4,rbf,100.0,0.05,,2,0.6032,0.6324,0.7499,0.6446,0.6032,0.5929,0.0425,0.2061,0.3676,0.3968,-0.0292,0.1794,0.0061,0.0116,0.595,0.351,0.4405,0.8741,0.9048,0.8873,0.9234,0.908,0.9155,0.882,0.967,0.9225,0.3268,0.0588,0.0907,0.5556,0.8315,0.666,0.821,0.7986,0.8087
3,poly,0.5,scale,balanced,2,0.5993,0.6069,0.5655,0.5868,0.5993,0.5161,0.056,0.2366,0.3931,0.4007,-0.0076,0.1046,0.6228,0.1751,0.7863,0.0882,0.1583,0.6572,0.9727,0.78,0.9281,0.749,0.8289,0.8597,0.8592,0.8593,0.1652,0.4078,0.2343,0.5497,0.3609,0.4076,0.6434,0.7339,0.6854
8,rbf,0.1,scale,,2,0.5973,0.6095,0.7851,0.6027,0.5973,0.5935,0.034,0.1844,0.3905,0.4027,-0.0123,0.0,0.0,0.0,0.5948,0.5388,0.5648,1.0,0.7019,0.821,0.9615,0.9112,0.9356,0.8731,0.9682,0.9182,0.0,0.0,0.0,0.6481,0.8678,0.742,0.7441,0.7902,0.766
3,poly,0.1,auto,balanced,2,0.5965,0.6097,0.5647,0.5872,0.5965,0.5152,0.0559,0.2365,0.3903,0.4035,-0.0132,0.1045,0.6278,0.1757,0.7873,0.0882,0.1583,0.6629,0.9591,0.7793,0.9273,0.7515,0.8301,0.859,0.8621,0.8604,0.1601,0.3961,0.2277,0.5507,0.3522,0.4027,0.6454,0.7351,0.6871
3,poly,50.0,scale,balanced,2,0.5963,0.624,0.5617,0.5886,0.5963,0.5201,0.0548,0.2341,0.376,0.4037,-0.0276,0.1071,0.6864,0.1848,0.6869,0.1009,0.175,0.7451,0.9115,0.8121,0.9265,0.77,0.8409,0.8476,0.88,0.8633,0.1502,0.4,0.2182,0.5744,0.2796,0.3623,0.6713,0.7422,0.7045
4,rbf,50.0,0.01,,2,0.5945,0.6019,0.748,0.6342,0.5945,0.5813,0.0426,0.2063,0.3981,0.4055,-0.0074,0.2,0.001,0.002,0.5898,0.3396,0.4284,0.9331,0.912,0.9219,0.9198,0.9054,0.9125,0.8827,0.9718,0.9251,0.2,0.002,0.0039,0.5524,0.8391,0.6661,0.7958,0.7854,0.7903
3,poly,50.0,auto,balanced,2,0.5944,0.625,0.5622,0.5909,0.5944,0.5213,0.0547,0.2339,0.375,0.4056,-0.0306,0.1071,0.6864,0.1848,0.6838,0.1018,0.1763,0.7744,0.8977,0.8244,0.9268,0.7724,0.8424,0.8452,0.88,0.8621,0.1505,0.3961,0.2179,0.5747,0.2788,0.3615,0.6647,0.7422,0.7008
4,linear,10.0,0.01,,3,0.591,0.6012,0.7396,0.5734,0.591,0.5713,0.0442,0.2104,0.3988,0.409,-0.0102,0.0,0.0,0.0,0.5405,0.3465,0.421,0.8394,0.9389,0.8822,0.9123,0.9078,0.91,0.8796,0.9658,0.9206,0.0667,0.002,0.0038,0.5483,0.8032,0.6516,0.8007,0.7638,0.7814
7,rbf,0.1,0.1,,2,0.5904,0.5973,0.7769,0.5985,0.5904,0.587,0.0355,0.1884,0.4027,0.4096,-0.0069,0.0,0.0,0.0,0.5957,0.5051,0.5453,1.0,0.6952,0.8161,0.9603,0.9106,0.9347,0.8693,0.9682,0.9161,0.0,0.0,0.0,0.6247,0.8564,0.7222,0.7379,0.7878,0.7614
7,poly,0.5,0.05,balanced,3,0.59,0.6034,0.554,0.6591,0.59,0.5284,0.0489,0.2212,0.3966,0.41,-0.0134,0.2013,0.3163,0.1717,0.9268,0.0831,0.1523,0.829,1.0,0.9058,0.993,0.6687,0.7991,0.9534,0.6469,0.7708,0.1717,0.6686,0.2557,0.4791,0.637,0.4636,0.7184,0.699,0.7084
