n_components,kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
7,linear,100.0,auto,balanced,2,0.7805,0.7993,0.7721,0.7034,0.7805,0.7199,0.0348,0.1864,0.2007,0.2195,-0.0187,0.2762,0.6539,0.3883,0.6508,0.3877,0.4856,0.9218,0.9798,0.9483,0.9695,0.9185,0.9433,0.9179,0.9428,0.9302,0.4609,0.8059,0.5852,0.7536,0.691,0.7209,0.6767,0.8646,0.7574
8,rbf,10.0,0.001,balanced,3,0.7794,0.7859,0.7595,0.6763,0.7794,0.6931,0.0344,0.1854,0.2141,0.2206,-0.0065,0.2664,0.6741,0.3815,0.7216,0.3004,0.4227,0.7376,1.0,0.8467,0.9728,0.8873,0.9281,0.9016,0.9402,0.9205,0.4645,0.8451,0.5989,0.7284,0.7308,0.7295,0.6172,0.8573,0.7169
6,rbf,10.0,scale,balanced,3,0.7782,0.8342,0.773,0.7107,0.7782,0.725,0.0335,0.1829,0.1658,0.2218,-0.0559,0.2539,0.5851,0.3533,0.6754,0.3757,0.4807,0.8995,0.9864,0.9399,0.9623,0.9089,0.9348,0.9181,0.9542,0.9357,0.5368,0.8137,0.646,0.7345,0.7148,0.7243,0.7049,0.8873,0.7854
9,poly,100.0,scale,balanced,2,0.777,0.8409,0.776,0.7251,0.777,0.7331,0.0396,0.1989,0.1591,0.223,-0.0639,0.2769,0.5932,0.3773,0.6856,0.3561,0.4682,0.9271,0.9729,0.9477,0.9615,0.8852,0.9218,0.9314,0.9352,0.9332,0.5935,0.8392,0.695,0.706,0.7917,0.7463,0.719,0.8429,0.7753
9,poly,25.0,scale,balanced,2,0.7764,0.8259,0.7707,0.725,0.7764,0.73,0.0387,0.1967,0.1741,0.2236,-0.0495,0.2789,0.6003,0.3803,0.7037,0.3371,0.4554,0.9325,0.966,0.9474,0.9656,0.8685,0.9144,0.9249,0.9294,0.927,0.588,0.8666,0.6999,0.6896,0.8054,0.7428,0.717,0.8381,0.7722
7,rbf,50.0,0.001,balanced,2,0.7761,0.7873,0.7602,0.6735,0.7761,0.6931,0.0341,0.1847,0.2127,0.2239,-0.0111,0.2741,0.6681,0.3883,0.6902,0.3471,0.4614,0.773,1.0,0.8712,0.9739,0.8964,0.9335,0.9096,0.9412,0.9251,0.375,0.8137,0.5128,0.7404,0.6961,0.7174,0.6517,0.8466,0.7352
6,rbf,25.0,0.1,balanced,2,0.7758,0.8443,0.7777,0.7215,0.7758,0.7322,0.0333,0.1826,0.1557,0.2242,-0.0685,0.2515,0.5699,0.3483,0.665,0.3965,0.4948,0.9307,0.9591,0.9435,0.9642,0.9167,0.9398,0.9206,0.9516,0.9358,0.5652,0.8098,0.6645,0.74,0.7182,0.7288,0.7348,0.8849,0.8025
7,linear,0.1,auto,balanced,2,0.7727,0.7824,0.7552,0.6682,0.7727,0.6882,0.0351,0.1874,0.2176,0.2273,-0.0097,0.2724,0.6722,0.3874,0.6668,0.3371,0.4473,0.773,1.0,0.8712,0.9739,0.8951,0.9327,0.9095,0.9402,0.9246,0.3595,0.8078,0.4973,0.7365,0.6838,0.709,0.6538,0.8454,0.736
6,rbf,10.0,auto,balanced,2,0.7705,0.8459,0.774,0.7143,0.7705,0.7264,0.0339,0.184,0.1541,0.2295,-0.0755,0.2479,0.5588,0.3427,0.6566,0.3985,0.494,0.9143,0.9591,0.9346,0.9637,0.9122,0.9372,0.9205,0.953,0.9364,0.5541,0.7863,0.6491,0.7338,0.7095,0.7213,0.7236,0.8861,0.7962
8,rbf,0.1,scale,balanced,2,0.7697,0.7816,0.7501,0.6631,0.7697,0.684,0.035,0.187,0.2184,0.2303,-0.0118,0.2561,0.6326,0.3643,0.6616,0.3106,0.4197,0.7422,1.0,0.8514,0.972,0.8823,0.925,0.9027,0.9388,0.9204,0.4183,0.847,0.5589,0.7206,0.7013,0.7106,0.631,0.8453,0.7219
6,linear,5.0,0.001,balanced,3,0.7601,0.7717,0.7437,0.6816,0.7601,0.697,0.0396,0.199,0.2283,0.2399,-0.0116,0.2322,0.5588,0.3277,0.6435,0.3416,0.4455,0.9058,1.0,0.9497,0.9566,0.9021,0.9285,0.9134,0.9426,0.9278,0.4574,0.8294,0.5882,0.6767,0.6358,0.6555,0.6673,0.8706,0.7532
6,linear,1.0,0.1,balanced,3,0.758,0.7675,0.7389,0.6754,0.758,0.6914,0.0397,0.1994,0.2325,0.242,-0.0095,0.2243,0.5537,0.3187,0.647,0.3365,0.4419,0.8738,1.0,0.9318,0.9581,0.8968,0.9263,0.9128,0.9407,0.9265,0.4463,0.8372,0.5816,0.6675,0.6272,0.6465,0.6735,0.8718,0.758
6,linear,25.0,0.001,balanced,3,0.7573,0.774,0.7443,0.6814,0.7573,0.696,0.0396,0.1991,0.226,0.2427,-0.0167,0.2317,0.5557,0.3267,0.6444,0.3459,0.4492,0.9011,0.98,0.9368,0.9564,0.9034,0.9291,0.913,0.9434,0.9279,0.4603,0.8255,0.5898,0.6779,0.635,0.6556,0.6661,0.8694,0.7523
7,rbf,1.0,0.01,balanced,2,0.7561,0.7635,0.7375,0.6518,0.7561,0.6587,0.0364,0.1908,0.2365,0.2439,-0.0074,0.2678,0.665,0.3815,0.7167,0.2534,0.3729,0.7373,1.0,0.8465,0.9718,0.8858,0.9268,0.8974,0.9441,0.9201,0.267,0.7765,0.3971,0.7132,0.6762,0.6941,0.6434,0.8477,0.7308
7,poly,100.0,scale,balanced,3,0.75,0.8357,0.7729,0.7241,0.75,0.7236,0.0443,0.2104,0.1643,0.25,-0.0857,0.2802,0.5213,0.3631,0.661,0.3579,0.4623,0.9407,0.9388,0.9389,0.9785,0.8834,0.9285,0.9301,0.9284,0.9292,0.5822,0.7294,0.6465,0.6695,0.8148,0.735,0.7505,0.8262,0.7852
9,rbf,25.0,0.1,,2,0.7472,0.816,0.8264,0.7648,0.7472,0.7441,0.0306,0.175,0.184,0.2528,-0.0689,0.305,0.0587,0.097,0.6288,0.6559,0.6419,0.9322,0.9655,0.9467,0.9611,0.9443,0.9526,0.9211,0.966,0.943,0.7784,0.7372,0.7541,0.7346,0.8258,0.7775,0.8574,0.8238,0.8398
